card_1,card_2,usage_count,win_rate_percent
Cannon,The Log,80818,50.43
Hog Rider,Wizard,80604,52.34
Hog Rider,Knight,80447,54.25
Barbarians,Skeleton Army,80445,50.93
Firecracker,Mega Knight,79412,53.68
Baby Dragon,Valkyrie,79352,49.94
Arrows,Mega Knight,77852,54.59
Arrows,Giant,77183,44.76
Goblin Barrel,Goblin Gang,76675,50.24
Hog Rider,Skeletons,76644,46.56
Arrows,Minions,76573,46.23
Archers,Knight,76482,51.83
Dart Goblin,The Log,76020,54.72
Mini P.E.K.K.A,Royal Ghost,75869,60.54
Arrows,Wizard,75839,49.76
Baby Dragon,Wizard,75042,47.14
Prince,Witch,74568,49.6
Cannon,Fireball,74101,46.05
Mini P.E.K.K.A,Prince,73703,50.23
Fireball,Skeletons,73211,43.0
Dart Goblin,Goblin Barrel,73074,52.33
Cannon,Skeletons,70109,43.37
Goblin Gang,The Log,69239,52.71
Battle Ram,Mini P.E.K.K.A,69073,48.57
Archers,Fireball,69004,51.76
Barbarians,Witch,68235,48.86
Firecracker,Hog Rider,68033,53.98
Hog Rider,Mega Knight,67988,55.89
Hog Rider,Ice Spirit,67906,47.86
Skeleton Army,Zap,67785,55.54
Mini P.E.K.K.A,Spear Goblins,67465,48.53
Knight,Musketeer,66844,52.63
Arrows,Musketeer,66718,48.84
Goblin Barrel,Princess,66385,52.29
Barbarians,Valkyrie,65822,46.55
Cannon,Mini P.E.K.K.A,65672,52.16
Goblin Hut,Mini P.E.K.K.A,65631,46.34
Giant,Knight,65601,51.28
Knight,Skeleton Army,65513,57.66
Inferno Dragon,Mini P.E.K.K.A,65391,55.79
Archers,Arrows,65308,50.62
Mega Knight,Valkyrie,64877,56.17
Fireball,Wizard,64704,52.0
Knight,Valkyrie,64493,55.47
Princess,The Log,64176,52.7
Ice Spirit,Skeletons,63477,45.73
Mini P.E.K.K.A,Zap,63126,53.75
Baby Dragon,Hog Rider,63002,54.95
Arrows,Baby Dragon,62442,51.68
Fireball,Minions,61391,51.36
Hog Rider,Tesla,61174,53.5
Dart Goblin,Skeleton Army,60199,55.0
Cannon,Knight,60195,51.19
Inferno Dragon,Witch,59508,56.19
Giant,Minions,59287,48.38
Giant,Valkyrie,59220,43.7
Bats,Mega Knight,59206,50.63
Fireball,Goblin Barrel,58851,55.0
Giant,Musketeer,58658,51.12
Knight,Skeletons,58399,48.5
Prince,Wizard,58059,47.29
Knight,Tesla,58052,51.83
Hog Rider,Zap,57780,54.11
Bats,Skeleton Army,57742,50.89
Cannon,Valkyrie,57279,51.5
Mega Knight,Wizard,56937,55.59
Mega Knight,Zap,56791,51.21
Knight,Minions,56664,50.67
Baby Dragon,Prince,56372,47.86
Firecracker,Valkyrie,56023,54.45
Cannon,Ice Spirit,55804,46.36
Barbarians,Fireball,54501,52.83
Dart Goblin,Mega Knight,54427,55.05
Dart Goblin,Witch,54337,55.46
Knight,Mega Knight,54303,57.03
Arrows,Prince,54097,47.11
Goblin Barrel,Tesla,53828,53.73
Ice Spirit,Knight,53743,50.85
Arrows,Cannon,53707,49.58
Cannon,Witch,53517,56.9
Hog Rider,Musketeer,53378,45.37
P.E.K.K.A,Witch,53056,49.53
Goblin Barrel,Prince,53035,49.37
Witch,Zap,52906,57.8
P.E.K.K.A,Skeleton Army,52302,51.61
Mega Knight,Tesla,52011,54.94
Inferno Dragon,Mega Knight,51701,51.95
Cannon,Skeleton Army,51636,56.84
Firecracker,Tesla,51495,53.13
Giant,Goblin Hut,51324,43.08
Firecracker,Mini P.E.K.K.A,51301,52.65
Arrows,Bats,51121,46.4
Musketeer,Valkyrie,51018,53.2
Electro Wizard,Mega Knight,50495,55.14
Fireball,Goblin Hut,50415,44.12
Dart Goblin,Mini P.E.K.K.A,50123,54.72
Tesla,Valkyrie,50081,53.9
Goblin Cage,Mini P.E.K.K.A,49921,46.12
Cannon,Musketeer,49828,42.38
Dart Goblin,Valkyrie,49672,54.49
Dart Goblin,Knight,49592,54.42
Arrows,Inferno Dragon,49461,48.47
Bats,Mini P.E.K.K.A,49436,52.0
Electro Wizard,The Log,49367,56.44
Goblin Barrel,Ice Spirit,49111,50.35
Cannon,Goblin Barrel,48843,54.77
Firecracker,Skeleton Army,48801,54.39
Fireball,Ice Spirit,48695,45.29
Baby Dragon,Barbarians,48596,45.92
Fireball,Spear Goblins,48494,44.06
Barbarians,Battle Ram,48301,46.59
Firecracker,Witch,48235,54.08
Skeleton Army,Tesla,47744,53.54
Bomber,Mini P.E.K.K.A,47451,51.35
Battle Ram,Fireball,47370,45.11
Firecracker,Goblin Barrel,47209,54.92
Mini P.E.K.K.A,Skeletons,47101,51.86
Royal Ghost,Wizard,47007,59.26
Knight,Wizard,46916,54.48
Goblin Barrel,Royal Ghost,46909,58.63
Prince,Valkyrie,46875,49.6
Fireball,Zap,46607,47.07
Arrows,Dart Goblin,46529,52.39
Barbarians,Giant,46373,46.6
Archers,Giant,45874,52.61
Tesla,Witch,45819,55.07
Fireball,Goblin Cage,45782,41.74
Goblin Barrel,Inferno Tower,45778,48.02
The Log,Wizard,45771,55.66
Bats,Zap,45712,42.67
Musketeer,Skeletons,45669,39.54
Electro Wizard,Skeleton Army,45554,56.06
Skeletons,Tesla,45063,50.69
P.E.K.K.A,Wizard,44962,49.17
Princess,Skeleton Army,44897,56.16
Goblin Gang,Mega Knight,44866,52.6
Hog Rider,Royal Ghost,44853,58.88
Valkyrie,Zap,44808,54.04
Minions,Musketeer,44769,51.09
Archers,Minions,44741,49.23
Firecracker,Knight,44274,55.0
Giant,Spear Goblins,44228,43.71
Goblin Barrel,Inferno Dragon,43966,55.87
Arrows,Firecracker,43920,52.38
Goblin Gang,Knight,43854,50.18
Arrows,Tesla,43674,52.09
Archers,Musketeer,43487,50.97
Mini P.E.K.K.A,Tesla,43382,54.38
Baby Dragon,The Log,43147,56.96
Dart Goblin,Goblin Gang,42916,49.11
Goblin Barrel,Zap,42678,54.99
Arrows,Royal Ghost,42605,57.6
Fireball,Tesla,42254,51.92
Arrows,Skeletons,42133,46.83
Dart Goblin,Hog Rider,42125,54.21
Baby Dragon,Mega Knight,42064,57.1
Arrows,P.E.K.K.A,42051,46.99
Arrows,Zap,41992,39.85
Battle Ram,Valkyrie,41871,44.9
Minions,Valkyrie,41414,54.53
Archers,The Log,41379,54.96
Bats,The Log,41344,55.72
Wizard,Zap,41307,52.19
Bats,Witch,41228,55.61
Electro Wizard,Zap,41151,47.37
Giant,Goblin Cage,41017,43.12
Baby Dragon,Fireball,40719,55.46
P.E.K.K.A,Zap,40618,47.42
Fireball,Mega Knight,40361,55.9
Guards,Witch,40262,50.31
Electro Wizard,Mini P.E.K.K.A,40014,54.41
Baby Dragon,Knight,39980,51.57
Ice Spirit,Tesla,39804,52.59
Battle Ram,Wizard,39675,44.38
Fireball,Royal Ghost,39611,57.83
Baby Dragon,Royal Ghost,39491,59.2
Archers,Valkyrie,39413,56.94
Goblin Gang,Princess,39257,49.82
Knight,Princess,39060,50.38
Electro Wizard,Witch,38856,55.85
Inferno Dragon,Valkyrie,38788,53.83
Barbarians,Hog Rider,38490,49.64
Goblin Hut,Valkyrie,38192,42.01
Arrows,Bomber,38042,42.91
Bats,Goblin Barrel,37947,53.4
Skeletons,Valkyrie,37942,52.08
Goblin Gang,Valkyrie,37908,54.04
Bats,Valkyrie,37847,52.68
Minions,Skeleton Army,37731,54.44
Archers,Skeleton Army,37726,56.56
Inferno Tower,The Log,37516,50.35
Bats,Hog Rider,37485,53.71
Mini P.E.K.K.A,P.E.K.K.A,37185,50.28
Barbarians,Goblin Barrel,36884,48.87
Spear Goblins,Valkyrie,36619,44.46
Musketeer,The Log,36562,46.86
Electro Wizard,P.E.K.K.A,36310,45.18
Inferno Dragon,The Log,36252,55.92
Goblin Hut,Spear Goblins,35869,35.57
Cannon,Dart Goblin,35730,53.95
Skeletons,Witch,35696,55.46
Royal Ghost,Valkyrie,35620,60.39
Arrows,Guards,35495,44.0
Dart Goblin,Tesla,35408,54.04
Hog Rider,Inferno Dragon,35298,55.65
Knight,Spear Goblins,34849,48.11
Balloon,Skeleton Army,34832,49.67
Minions,Witch,34737,52.58
Firecracker,Skeletons,34656,52.97
Inferno Tower,Mini P.E.K.K.A,34490,50.05
Prince,Zap,34344,42.53
Arrows,Goblin Gang,34270,51.4
Electro Wizard,Goblin Barrel,34251,56.11
Mega Knight,Prince,34177,52.2
Goblin Barrel,P.E.K.K.A,34033,49.02
Inferno Tower,Skeleton Army,34016,54.05
Cannon,Mega Knight,33994,56.24
Goblins,Mini P.E.K.K.A,33873,49.19
Goblin Gang,Witch,33860,54.54
Mega Minion,Mini P.E.K.K.A,33658,46.43
Electro Wizard,Valkyrie,33616,55.94
Arrows,Electro Wizard,33583,51.74
Goblin Gang,Ice Spirit,33486,48.12
Inferno Dragon,Zap,33386,45.02
Goblin Gang,Mini P.E.K.K.A,33324,52.66
Firecracker,Ice Spirit,33292,53.03
Royal Ghost,Zap,33259,52.0
Princess,Witch,33061,55.8
Inferno Dragon,Wizard,33042,53.89
Arrows,Barbarians,32891,52.78
Mega Knight,Skeletons,32806,56.29
Archers,Witch,32636,56.38
Dart Goblin,Ice Spirit,32573,52.95
Ice Spirit,Valkyrie,32567,53.73
Princess,Valkyrie,32555,55.12
Goblin Hut,Knight,32237,49.08
Musketeer,Skeleton Army,32179,58.48
Inferno Tower,Valkyrie,32135,49.51
Prince,The Log,32031,55.53
Arrows,Spear Goblins,31776,48.85
Vines,Witch,31650,55.67
Baby Dragon,P.E.K.K.A,31580,45.76
P.E.K.K.A,Royal Ghost,31419,49.33
Inferno Tower,Knight,31357,47.25
Electro Wizard,Hog Rider,31222,56.16
Ice Spirit,Mega Knight,31159,56.12
Knight,Zap,31100,53.9
Archers,Goblin Barrel,30974,55.37
Ice Spirit,Musketeer,30963,41.09
Archers,Hog Rider,30952,55.79
Royal Ghost,The Log,30774,56.07
Mega Knight,Princess,30767,56.37
P.E.K.K.A,The Log,30739,55.65
Giant,Wizard,30428,42.19
Arrows,The Log,30393,55.48
Fireball,P.E.K.K.A,30380,51.68
Arrows,Balloon,30309,41.51
Guards,Mini P.E.K.K.A,29754,55.4
Giant,Mega Minion,29707,36.98
Dark Prince,Skeleton Army,29691,52.77
Ice Spirit,Witch,29649,56.88
Goblin Gang,Skeleton Army,29588,53.66
Mini P.E.K.K.A,Princess,29471,55.88
Fireball,Firecracker,29438,53.84
Bomber,Giant,29410,40.95
Bomber,Valkyrie,29377,49.77
The Log,Wall Breakers,29376,53.34
Skeleton Army,Vines,29329,54.86
P.E.K.K.A,Valkyrie,29133,51.44
Hog Rider,Prince,28981,53.86
Baby Dragon,Barbarian Barrel,28914,36.17
Arrows,Goblin Cage,28887,42.62
Bomber,Fireball,28771,47.09
Battle Ram,Skeleton Army,28643,56.19
Goblin Barrel,Skeletons,28584,53.98
Barbarians,Prince,28551,47.07
Firecracker,Zap,28535,51.43
Goblin Cage,Goblin Hut,28505,34.83
Ice Spirit,Princess,28399,48.08
Barbarians,Royal Ghost,28212,59.42
Cannon,Firecracker,28153,53.28
Goblins,Spear Goblins,28100,36.95
Bats,Firecracker,28085,50.59
Dart Goblin,Fireball,28008,53.98
Goblin Gang,Hog Rider,27959,54.81
Hog Rider,P.E.K.K.A,27954,52.67
Hog Rider,Ice Golem,27929,39.29
Electro Spirit,Fireball,27719,38.67
Fireball,Prince,27668,52.52
Arrows,Battle Ram,27606,46.31
Battle Ram,Royal Ghost,27418,49.94
Cannon,Wizard,27370,50.8
Archers,Mega Knight,27353,56.83
Inferno Dragon,Royal Ghost,27152,55.73
Balloon,Lumberjack,27073,46.1
Mega Knight,Royal Ghost,26953,56.9
Firecracker,Goblin Gang,26760,52.78
Baby Dragon,Zap,26747,55.3
Mini P.E.K.K.A,Tombstone,26709,54.78
Bats,Wizard,26670,50.97
Ice Golem,Skeletons,26363,37.21
Archers,Skeletons,26067,51.42
Fireball,Inferno Dragon,26046,55.86
Goblin Gang,Inferno Tower,26032,46.49
Battle Ram,P.E.K.K.A,26000,42.43
Fireball,Goblins,25984,44.75
Rocket,The Log,25963,46.54
Goblin Gang,Zap,25831,47.1
Dark Prince,Witch,25769,53.63
Cannon,Ice Golem,25732,38.0
Electro Wizard,Fireball,25727,52.09
Ice Golem,Ice Spirit,25709,37.72
Goblin Barrel,Guards,25674,50.09
Electro Spirit,Skeletons,25673,38.35
Cannon,Zap,25606,52.32
Mini P.E.K.K.A,Vines,25601,54.51
Dart Goblin,Zap,25600,53.62
Goblin Gang,Tesla,25497,53.3
Inferno Tower,Princess,25477,47.62
Ice Spirit,Skeleton Army,25454,55.7
Battle Ram,Giant,25445,44.77
Fireball,Inferno Tower,25388,49.79
Inferno Tower,Wizard,25327,47.17
Inferno Dragon,Prince,25307,54.16
Dark Prince,Mini P.E.K.K.A,25249,52.55
Archers,Tesla,25125,50.6
Bats,Knight,25104,49.89
Hog Rider,Minions,25043,55.31
Baby Dragon,Cannon,24928,54.23
Electro Wizard,Firecracker,24909,54.13
Minions,Wizard,24854,55.34
Minion Horde,Skeleton Army,24754,48.49
Giant,Goblins,24661,43.39
Guards,Valkyrie,24585,51.3
Ice Spirit,Mini P.E.K.K.A,24564,55.25
Baby Dragon,Inferno Dragon,24527,54.28
Ice Golem,Musketeer,24508,36.5
Ice Golem,The Log,24496,42.02
Goblin Cage,Knight,24448,49.53
Goblin Barrel,Rocket,24446,46.1
The Log,Zap,24376,56.87
Fireball,Ice Golem,24354,37.07
Barbarian Barrel,Knight,24342,41.96
Hog Rider,Inferno Tower,24337,51.08
Bomber,Skeleton Army,24286,54.86
Arrows,Ice Spirit,24284,54.01
Guards,Hog Rider,24207,54.5
Bats,Goblin Gang,24189,45.06
Goblin Cage,Valkyrie,24167,44.19
Dart Goblin,Firecracker,24146,53.5
Bandit,Zap,24130,41.91
Inferno Tower,Witch,24123,53.82
Barbarian Barrel,Tornado,24099,26.47
Battle Ram,Witch,24048,53.11
Giant Snowball,Witch,24023,48.11
Dark Prince,Zap,23969,39.99
Guards,Skeleton Army,23919,51.75
Executioner,Skeleton Army,23887,56.19
Tombstone,Valkyrie,23754,46.73
Skeletons,Zap,23629,47.24
Electro Wizard,Royal Ghost,23620,47.76
Goblin Cage,Spear Goblins,23576,36.97
Battle Ram,Knight,23570,44.82
Mega Minion,Zap,23542,33.72
Barbarians,Goblin Hut,23467,46.7
Dart Goblin,Skeletons,23465,53.79
Mega Knight,Wall Breakers,23404,50.93
Fireball,Goblin Gang,23310,53.44
Fireball,Mega Minion,23257,42.81
Prince,Royal Ghost,23234,57.09
Bats,Fireball,23189,55.19
Balloon,Valkyrie,23155,50.15
Bats,Inferno Dragon,23138,43.77
Bandit,Electro Wizard,23081,41.92
Guards,The Log,23060,54.58
Arrows,Goblin Hut,22992,52.57
Bomber,Spear Goblins,22974,37.43
Goblin Barrel,Musketeer,22941,54.37
Electro Spirit,Knight,22868,39.89
Musketeer,Witch,22733,58.12
Arrows,Rage,22730,37.38
Electro Wizard,Knight,22554,56.74
Barbarians,Inferno Dragon,22537,54.34
Balloon,Inferno Dragon,22501,38.55
Golden Knight,The Log,22447,54.36
Freeze,Skeleton Army,22445,48.34
Minions,Spear Goblins,22435,53.13
Battle Ram,Zap,22362,43.21
Royal Hogs,Skeleton Army,22343,51.19
Knight,Royal Ghost,22322,60.15
Arrows,Inferno Tower,22039,50.22
Barbarians,Knight,22001,57.56
Ice Wizard,Knight,21975,45.87
Giant,Witch,21969,48.22
Arrows,Mega Minion,21967,36.05
Arrows,Electro Spirit,21956,37.88
Dart Goblin,Princess,21916,54.11
Baby Dragon,Dart Goblin,21876,55.14
Skeleton Army,Skeleton King,21785,53.4
Bats,Dart Goblin,21758,51.93
Minions,Zap,21737,52.7
Barbarians,Mega Minion,21676,45.46
Fireball,Tombstone,21660,46.98
Barbarian Barrel,Witch,21634,54.91
Skeleton Army,Sparky,21612,49.88
Barbarian Barrel,Poison,21459,28.56
Giant,Skeleton Army,21324,50.73
Ice Spirit,Inferno Tower,21298,45.07
Dart Goblin,Wizard,21224,54.95
Musketeer,Spear Goblins,21201,56.32
Arrows,Elite Barbarians,21195,44.65
Golden Knight,Witch,21152,54.57
Bomber,Knight,21117,54.28
Balloon,Freeze,20960,34.76
Executioner,The Log,20854,55.94
Guards,Wizard,20792,49.94
Balloon,Witch,20784,54.8
Skeleton Army,Spear Goblins,20751,53.69
Knight,Rocket,20745,44.14
Executioner,Mini P.E.K.K.A,20654,55.94
Goblin Hut,Goblins,20650,34.54
Balloon,Mini P.E.K.K.A,20638,54.14
Bomber,Witch,20613,56.84
Goblin Barrel,Minions,20546,54.58
Electro Wizard,Wizard,20527,55.71
Firecracker,Wizard,20460,54.01
Tesla,Wizard,20404,53.48
Mini P.E.K.K.A,Skeleton Dragons,20384,51.19
Battle Ram,Cannon,20375,40.87
Arrows,Tombstone,20373,47.18
Golden Knight,Mega Knight,20369,54.99
Archers,Wizard,20339,54.45
Mega Minion,Valkyrie,20296,43.76
Elite Barbarians,Zap,20272,46.45
Dart Goblin,Royal Ghost,20220,56.37
Cannon,Royal Ghost,20212,59.67
Bomber,Zap,20175,38.77
Musketeer,Zap,20145,49.55
Baby Dragon,Guards,20099,51.01
Bandit,P.E.K.K.A,20067,40.61
Mega Knight,Vines,20047,55.55
Archers,Cannon,20008,56.41
Inferno Tower,Rocket,19979,40.69
Barbarian Barrel,Ice Wizard,19971,31.75
Arrows,Lumberjack,19968,47.34
Giant Snowball,Skeleton Army,19967,52.34
Bandit,Royal Ghost,19957,38.73
Bandit,Mega Knight,19927,48.31
Tesla,Zap,19922,52.65
Ice Wizard,The Log,19914,53.55
Goblin Barrel,Vines,19902,54.94
Electro Spirit,The Log,19843,51.09
Elite Barbarians,Rage,19831,42.29
Baby Dragon,Bats,19753,52.4
Bats,Spear Goblins,19752,32.1
Barbarians,P.E.K.K.A,19746,46.83
Elite Barbarians,Skeleton Army,19723,54.9
The Log,Vines,19714,54.76
Bats,Prince,19647,46.75
Hog Rider,Princess,19621,55.04
Executioner,Mega Knight,19538,55.74
Goblin Gang,Rocket,19509,44.63
Mega Knight,Skeleton Barrel,19460,43.64
Guards,Zap,19443,44.24
Lumberjack,Skeleton Army,19434,52.13
Firecracker,P.E.K.K.A,19318,54.34
Lumberjack,The Log,19251,55.45
Boss Bandit,The Log,19199,54.65
Ice Spirit,Rocket,19174,43.44
Arrows,Royal Hogs,19159,42.1
Balloon,Wizard,19111,50.36
Bats,Cannon,19083,50.2
Minions,The Log,19078,54.86
Dark Prince,Goblin Barrel,19021,50.91
Goblin Gang,Wizard,18986,53.97
Princess,Rocket,18950,44.82
Skeleton Army,Skeletons,18834,52.26
Mini P.E.K.K.A,Rage,18806,49.91
Electro Wizard,Inferno Dragon,18747,52.61
Elite Barbarians,The Log,18730,56.0
Miner,Zap,18653,35.27
Arrows,Dark Prince,18611,46.31
Barbarian Barrel,Skeleton Army,18598,56.08
Skeleton Army,Wall Breakers,18548,54.84
Barbarians,Inferno Tower,18523,46.32
Arrows,Princess,18449,55.08
Hog Rider,Vines,18431,54.15
Royal Hogs,Witch,18423,51.66
Mini P.E.K.K.A,Sparky,18417,47.0
Electro Wizard,Tesla,18410,54.2
Mega Knight,Minions,18388,55.85
Tombstone,Witch,18355,54.74
Skeleton King,Witch,18331,54.02
Bats,Tesla,18331,53.67
Dark Prince,Prince,18271,41.92
Giant,Zap,18267,33.31
Skeletons,Wizard,18195,50.34
Barbarians,Skeleton Dragons,18164,45.1
Skeleton Army,Skeleton Barrel,18124,49.91
Inferno Dragon,Knight,18094,56.45
Skeleton Army,Tombstone,18091,50.8
Cannon,Goblin Gang,18030,53.83
Giant Snowball,Mini P.E.K.K.A,18003,51.1
Electro Spirit,Hog Rider,17996,47.59
Archers,Zap,17985,55.48
Fireball,Guards,17963,54.45
Princess,Tesla,17949,53.94
Bats,Skeletons,17845,46.98
Arrows,Barbarian Barrel,17803,43.91
Skeleton King,The Log,17775,54.9
Freeze,Witch,17672,53.4
Baby Dragon,Electro Wizard,17664,53.81
Sparky,Zap,17565,41.16
Electro Spirit,Mini P.E.K.K.A,17559,55.27
Ram Rider,Skeleton Army,17540,55.82
Baby Dragon,Goblin Gang,17527,53.13
Knight,Tombstone,17167,46.97
Battle Ram,Minions,17140,47.21
Golden Knight,Skeleton Army,17139,54.37
Guards,Knight,17138,51.75
Knight,Prince,17114,56.08
Goblin Gang,Skeleton Barrel,17110,43.19
Mini P.E.K.K.A,Wall Breakers,17104,53.62
Baby Dragon,Tornado,17069,26.77
Rage,Skeleton Army,17068,53.25
Baby Dragon,Ice Wizard,17057,33.6
Baby Dragon,Dark Prince,17055,51.15
Arrows,Wall Breakers,16998,48.9
Musketeer,Wizard,16966,56.63
Archers,Spear Goblins,16947,58.15
Goblin Cage,Goblins,16923,34.77
Dart Goblin,Prince,16905,53.3
Spear Goblins,Zap,16897,37.09
Knight,P.E.K.K.A,16848,54.18
Ram Rider,Witch,16844,56.01
Freeze,Inferno Dragon,16831,37.74
Bomber,Goblin Hut,16830,39.85
Giant Snowball,Guards,16803,35.89
Ice Spirit,Zap,16796,50.05
Electro Spirit,Skeleton Army,16758,57.18
Arrows,Royal Recruits,16726,39.02
Firecracker,Inferno Dragon,16687,50.03
Elite Barbarians,Witch,16652,55.73
Valkyrie,Vines,16642,53.94
Goblins,Knight,16591,53.59
Goblin Gang,Inferno Dragon,16570,48.74
Bats,Wall Breakers,16567,39.69
Giant Skeleton,Skeleton Army,16560,45.25
Ice Wizard,Tornado,16558,26.84
Dart Goblin,Wall Breakers,16536,52.74
Balloon,Zap,16529,41.54
Battle Ram,Electro Wizard,16529,41.91
Baby Dragon,Balloon,16479,49.15
Baby Dragon,Tesla,16451,53.89
Balloon,The Log,16418,55.51
Bats,Miner,16416,33.89
Arrows,Minion Horde,16373,45.31
Baby Dragon,Princess,16274,56.52
Knight,Poison,16266,36.71
Dark Prince,Wizard,16258,53.72
Goblin Cage,Musketeer,16253,55.17
Dart Goblin,Skeleton Barrel,16251,48.28
Firecracker,Prince,16236,50.51
Bats,Skeleton Barrel,16206,40.55
Goblin Hut,Musketeer,16177,59.78
Guards,Mega Knight,16168,55.24
Goblin Hut,Witch,16164,55.55
Baby Dragon,Tombstone,16147,39.59
Rage,Zap,16147,38.86
Graveyard,Poison,16022,29.99
Dart Goblin,Guards,16007,53.85
Lumberjack,Zap,15924,45.55
Arrows,Giant Snowball,15901,33.88
Battle Ram,Musketeer,15896,47.29
Barbarians,Spear Goblins,15889,53.62
Barbarian Barrel,Goblin Barrel,15854,55.02
Archers,Ice Spirit,15806,54.09
Mini P.E.K.K.A,Royal Hogs,15803,50.47
Electro Spirit,Witch,15729,57.34
Dart Goblin,P.E.K.K.A,15719,52.54
Goblin Gang,Prince,15718,50.52
Executioner,Hog Rider,15665,55.85
Mega Knight,Rage,15606,53.91
Baby Dragon,Vines,15545,55.1
Barbarian Barrel,Graveyard,15544,29.34
Bandit,Battle Ram,15510,38.37
Knight,Wall Breakers,15507,46.26
Cannon,Minions,15458,51.14
Princess,Wizard,15457,55.16
Dart Goblin,Electro Wizard,15439,55.51
Miner,The Log,15427,51.46
Graveyard,Ice Wizard,15417,29.7
Ice Wizard,Witch,15337,52.6
Arrows,Goblins,15290,50.36
Freeze,Mini P.E.K.K.A,15288,52.09
Valkyrie,Wall Breakers,15285,53.33
Bomber,Goblin Barrel,15231,52.79
Barbarians,Minions,15201,59.27
Goblin Giant,Rage,15199,33.41
Ice Wizard,Poison,15133,29.59
Bomber,Musketeer,15112,53.98
Dart Goblin,Inferno Dragon,15096,54.52
Bomber,Wizard,15080,57.63
Miner,Wall Breakers,14987,38.84
Barbarians,Musketeer,14971,60.45
Knight,Vines,14960,54.07
Bomber,Hog Rider,14959,55.29
Inferno Tower,Mega Knight,14877,54.92
Barbarian Barrel,Goblin Cage,14870,34.24
Archers,Royal Ghost,14849,57.71
Bomber,P.E.K.K.A,14846,39.38
Giant Snowball,Goblin Barrel,14822,51.13
Magic Archer,P.E.K.K.A,14819,43.07
Balloon,Mega Knight,14817,54.93
Guards,Minions,14816,41.21
Bomber,Goblin Cage,14811,38.3
Archers,Baby Dragon,14762,55.9
Firecracker,Wall Breakers,14760,49.84
Goblin Barrel,Wall Breakers,14749,53.98
Elite Barbarians,Wizard,14741,55.13
Rage,Witch,14730,53.48
Bandit,The Log,14720,56.2
Arrows,Freeze,14677,38.3
Cannon,Guards,14657,53.39
Firecracker,Royal Ghost,14636,54.76
Bats,Royal Ghost,14619,56.2
Arrows,Sparky,14570,46.43
Royal Ghost,Skeletons,14553,56.26
Baby Dragon,Lumberjack,14486,41.5
Spear Goblins,Wizard,14463,54.16
Cannon,Inferno Dragon,14434,56.56
Dart Goblin,Vines,14416,53.43
