card,usage_count,win_count,total_plays,win_percentage,card_type
Royal Giant,13367,12158,24408,49.81,NON_EVO
Rune Giant,1188,937,1969,47.59,NON_EVO
Battle Ram,66131,50834,108779,46.73,NON_EVO
Tesla,53387,54540,104394,52.24,NON_EVO
Rascals,3418,3184,6140,51.86,NON_EVO
Mirror,12328,11691,23867,48.98,NON_EVO
Inferno Dragon,78100,69500,137674,50.48,NON_EVO
Arrows,259263,213011,439238,48.5,NON_EVO
Spear Goblins,71082,52178,116316,44.86,NON_EVO
Goblin Barrel,204997,201514,381453,52.83,NON_EVO
Wall Breakers,36330,32125,65136,49.32,NON_EVO
Golden Knight,30596,31031,59717,51.96,NON_EVO
Freeze,34634,25581,57394,44.57,NON_EVO
Lava Hound,9400,3728,11552,32.27,NON_EVO
Battle Healer,11396,5946,15264,38.95,NON_EVO
Little Prince,9365,9769,17782,54.94,NON_EVO
Ram Rider,27433,24832,49242,50.43,NON_EVO
Hog Rider,185879,193261,365200,52.92,NON_EVO
Dart Goblin,88411,88560,166487,53.19,NON_EVO
Spirit Empress,3512,2670,5952,44.86,NON_EVO
Inferno Tower,56028,51455,104022,49.47,NON_EVO
Goblin Demolisher,1962,1157,3008,38.46,NON_EVO
Electro Wizard,86049,80096,154415,51.87,NON_EVO
Ice Wizard,39225,29647,65519,45.25,NON_EVO
Baby Dragon,144170,123906,247535,50.06,NON_EVO
Heal Spirit,8906,4031,11042,36.51,NON_EVO
Executioner,18138,19014,35060,54.23,NON_EVO
Bats,93575,79508,162512,48.92,NON_EVO
P.E.K.K.A,77351,60791,126419,48.09,NON_EVO
Elite Barbarians,41958,35550,71170,49.95,NON_EVO
Mega Minion,49694,28384,70227,40.42,NON_EVO
Cannon,108123,101666,200850,50.62,NON_EVO
Tornado,34550,16385,46793,35.02,NON_EVO
Wizard,133604,125434,239218,52.44,NON_EVO
Goblin Cage,49603,34972,81512,42.9,NON_EVO
Skeleton Army,263032,258962,485141,53.38,NON_EVO
Skeleton Dragons,25168,18085,39612,45.66,NON_EVO
Skeletons,99399,85056,179416,47.41,NON_EVO
Magic Archer,25900,21660,44289,48.91,NON_EVO
Musketeer,93476,85387,169435,50.4,NON_EVO
X-Bow,11152,9465,20306,46.61,NON_EVO
Three Musketeers,5074,3186,7502,42.47,NON_EVO
Lumberjack,34823,25952,54898,47.27,NON_EVO
Elixir Golem,17877,11884,28301,41.99,NON_EVO
Berserker,11484,9636,19971,48.25,NON_EVO
Dark Prince,51451,40282,82716,48.7,NON_EVO
Balloon,56743,42907,92843,46.21,NON_EVO
Goblins,31614,25421,54880,46.32,NON_EVO
Royal Delivery,12213,11967,23665,50.57,NON_EVO
Flying Machine,15812,7921,20752,38.17,NON_EVO
Barbarians,91067,78367,157314,49.82,NON_EVO
Graveyard,22825,13480,35527,37.94,NON_EVO
Zappies,13821,7887,19214,41.05,NON_EVO
Goblin Curse,14943,9731,22660,42.94,NON_EVO
Witch,217684,212201,394658,53.77,NON_EVO
