card_1,card_2,usage_count,win_rate_percent,total_elixir_cost
Dart Goblin,Goblin Barrel,73074,52.33,6.0
Cannon,Skeletons,70109,43.37,4.0
Goblin Gang,The Log,69239,52.71,5.0
Battle Ram,Mini P.E.K.K.A,69073,48.57,8.0
Archers,Fireball,69004,51.76,7.0
Barbarians,Witch,68235,48.86,10.0
Firecracker,Hog Rider,68033,53.98,7.0
Hog Rider,Mega Knight,67988,55.89,11.0
Hog Rider,Ice Spirit,67906,47.86,5.0
Skeleton Army,Zap,67785,55.54,5.0
Mini P.E.K.K.A,Spear Goblins,67465,48.53,6.0
Knight,Musketeer,66844,52.63,7.0
Arrows,Musketeer,66718,48.84,7.0
Goblin Barrel,Princess,66385,52.29,6.0
Barbarians,Valkyrie,65822,46.55,9.0
Cannon,Mini P.E.K.K.A,65672,52.16,7.0
Goblin Hut,Mini P.E.K.K.A,65631,46.34,8.0
Giant,Knight,65601,51.28,8.0
Knight,Skeleton Army,65513,57.66,6.0
Inferno Dragon,Mini P.E.K.K.A,65391,55.79,8.0
Archers,Arrows,65308,50.62,6.0
Mega Knight,Valkyrie,64877,56.17,11.0
Fireball,Wizard,64704,52.0,9.0
Knight,Valkyrie,64493,55.47,7.0
Princess,The Log,64176,52.7,5.0
Ice Spirit,Skeletons,63477,45.73,2.0
Mini P.E.K.K.A,Zap,63126,53.75,6.0
Baby Dragon,Hog Rider,63002,54.95,8.0
Arrows,Baby Dragon,62442,51.68,7.0
Fireball,Minions,61391,51.36,7.0
Hog Rider,Tesla,61174,53.5,8.0
Dart Goblin,Skeleton Army,60199,55.0,6.0
Cannon,Knight,60195,51.19,6.0
Inferno Dragon,Witch,59508,56.19,9.0
Giant,Minions,59287,48.38,8.0
Giant,Valkyrie,59220,43.7,9.0
Bats,Mega Knight,59206,50.63,9.0
Fireball,Goblin Barrel,58851,55.0,7.0
Giant,Musketeer,58658,51.12,9.0
Knight,Skeletons,58399,48.5,4.0
Prince,Wizard,58059,47.29,10.0
Knight,Tesla,58052,51.83,7.0
Hog Rider,Zap,57780,54.11,6.0
Bats,Skeleton Army,57742,50.89,5.0
Cannon,Valkyrie,57279,51.5,7.0
Mega Knight,Wizard,56937,55.59,12.0
Mega Knight,Zap,56791,51.21,9.0
Knight,Minions,56664,50.67,6.0
Baby Dragon,Prince,56372,47.86,9.0
Firecracker,Valkyrie,56023,54.45,7.0
Cannon,Ice Spirit,55804,46.36,4.0
Barbarians,Fireball,54501,52.83,9.0
Dart Goblin,Mega Knight,54427,55.05,10.0
Dart Goblin,Witch,54337,55.46,8.0
Knight,Mega Knight,54303,57.03,10.0
Arrows,Prince,54097,47.11,8.0
Goblin Barrel,Tesla,53828,53.73,7.0
Ice Spirit,Knight,53743,50.85,4.0
Arrows,Cannon,53707,49.58,6.0
Cannon,Witch,53517,56.9,8.0
Hog Rider,Musketeer,53378,45.37,8.0
P.E.K.K.A,Witch,53056,49.53,12.0
Goblin Barrel,Prince,53035,49.37,8.0
Witch,Zap,52906,57.8,7.0
P.E.K.K.A,Skeleton Army,52302,51.61,10.0
Mega Knight,Tesla,52011,54.94,11.0
Inferno Dragon,Mega Knight,51701,51.95,11.0
Cannon,Skeleton Army,51636,56.84,6.0
Firecracker,Tesla,51495,53.13,7.0
Giant,Goblin Hut,51324,43.08,9.0
Firecracker,Mini P.E.K.K.A,51301,52.65,7.0
Arrows,Bats,51121,46.4,5.0
Musketeer,Valkyrie,51018,53.2,8.0
Electro Wizard,Mega Knight,50495,55.14,11.0
Fireball,Goblin Hut,50415,44.12,8.0
Dart Goblin,Mini P.E.K.K.A,50123,54.72,7.0
Tesla,Valkyrie,50081,53.9,8.0
Goblin Cage,Mini P.E.K.K.A,49921,46.12,8.0
Cannon,Musketeer,49828,42.38,7.0
Dart Goblin,Valkyrie,49672,54.49,7.0
Dart Goblin,Knight,49592,54.42,6.0
Arrows,Inferno Dragon,49461,48.47,7.0
Bats,Mini P.E.K.K.A,49436,52.0,6.0
Electro Wizard,The Log,49367,56.44,6.0
Goblin Barrel,Ice Spirit,49111,50.35,4.0
Cannon,Goblin Barrel,48843,54.77,6.0
Firecracker,Skeleton Army,48801,54.39,6.0
Fireball,Ice Spirit,48695,45.29,5.0
Baby Dragon,Barbarians,48596,45.92,9.0
Fireball,Spear Goblins,48494,44.06,6.0
Barbarians,Battle Ram,48301,46.59,9.0
Firecracker,Witch,48235,54.08,8.0
Skeleton Army,Tesla,47744,53.54,7.0
Bomber,Mini P.E.K.K.A,47451,51.35,6.0
Battle Ram,Fireball,47370,45.11,8.0
Firecracker,Goblin Barrel,47209,54.92,6.0
Mini P.E.K.K.A,Skeletons,47101,51.86,5.0
Royal Ghost,Wizard,47007,59.26,8.0
Knight,Wizard,46916,54.48,8.0
Goblin Barrel,Royal Ghost,46909,58.63,6.0
Prince,Valkyrie,46875,49.6,9.0
Fireball,Zap,46607,47.07,6.0
Arrows,Dart Goblin,46529,52.39,6.0
Barbarians,Giant,46373,46.6,10.0
Archers,Giant,45874,52.61,8.0
Tesla,Witch,45819,55.07,9.0
Fireball,Goblin Cage,45782,41.74,8.0
Goblin Barrel,Inferno Tower,45778,48.02,8.0
The Log,Wizard,45771,55.66,7.0
Bats,Zap,45712,42.67,4.0
Musketeer,Skeletons,45669,39.54,5.0
Electro Wizard,Skeleton Army,45554,56.06,7.0
Skeletons,Tesla,45063,50.69,5.0
P.E.K.K.A,Wizard,44962,49.17,12.0
Princess,Skeleton Army,44897,56.16,6.0
Goblin Gang,Mega Knight,44866,52.6,10.0
Hog Rider,Royal Ghost,44853,58.88,7.0
Valkyrie,Zap,44808,54.04,6.0
Minions,Musketeer,44769,51.09,7.0
Archers,Minions,44741,49.23,6.0
Firecracker,Knight,44274,55.0,6.0
Giant,Spear Goblins,44228,43.71,7.0
Goblin Barrel,Inferno Dragon,43966,55.87,7.0
Arrows,Firecracker,43920,52.38,6.0
Goblin Gang,Knight,43854,50.18,6.0
Arrows,Tesla,43674,52.09,7.0
Archers,Musketeer,43487,50.97,7.0
Mini P.E.K.K.A,Tesla,43382,54.38,8.0
Baby Dragon,The Log,43147,56.96,6.0
Dart Goblin,Goblin Gang,42916,49.11,6.0
Goblin Barrel,Zap,42678,54.99,5.0
Arrows,Royal Ghost,42605,57.6,6.0
Fireball,Tesla,42254,51.92,8.0
Arrows,Skeletons,42133,46.83,4.0
Dart Goblin,Hog Rider,42125,54.21,7.0
Baby Dragon,Mega Knight,42064,57.1,11.0
Arrows,P.E.K.K.A,42051,46.99,10.0
Arrows,Zap,41992,39.85,5.0
Battle Ram,Valkyrie,41871,44.9,8.0
Minions,Valkyrie,41414,54.53,7.0
Archers,The Log,41379,54.96,5.0
Bats,The Log,41344,55.72,4.0
Wizard,Zap,41307,52.19,7.0
Bats,Witch,41228,55.61,7.0
Electro Wizard,Zap,41151,47.37,6.0
Giant,Goblin Cage,41017,43.12,9.0
Baby Dragon,Fireball,40719,55.46,8.0
P.E.K.K.A,Zap,40618,47.42,9.0
Fireball,Mega Knight,40361,55.9,11.0
Guards,Witch,40262,50.31,8.0
Electro Wizard,Mini P.E.K.K.A,40014,54.41,8.0
Baby Dragon,Knight,39980,51.57,7.0
Ice Spirit,Tesla,39804,52.59,5.0
Battle Ram,Wizard,39675,44.38,9.0
Fireball,Royal Ghost,39611,57.83,7.0
Baby Dragon,Royal Ghost,39491,59.2,7.0
Archers,Valkyrie,39413,56.94,7.0
Goblin Gang,Princess,39257,49.82,6.0
Knight,Princess,39060,50.38,6.0
Electro Wizard,Witch,38856,55.85,9.0
Inferno Dragon,Valkyrie,38788,53.83,8.0
Barbarians,Hog Rider,38490,49.64,9.0
Goblin Hut,Valkyrie,38192,42.01,8.0
Arrows,Bomber,38042,42.91,5.0
Bats,Goblin Barrel,37947,53.4,5.0
Skeletons,Valkyrie,37942,52.08,5.0
Goblin Gang,Valkyrie,37908,54.04,7.0
Bats,Valkyrie,37847,52.68,6.0
Minions,Skeleton Army,37731,54.44,6.0
Archers,Skeleton Army,37726,56.56,6.0
Inferno Tower,The Log,37516,50.35,7.0
Bats,Hog Rider,37485,53.71,6.0
Mini P.E.K.K.A,P.E.K.K.A,37185,50.28,11.0
Barbarians,Goblin Barrel,36884,48.87,8.0
Spear Goblins,Valkyrie,36619,44.46,6.0
Musketeer,The Log,36562,46.86,6.0
Electro Wizard,P.E.K.K.A,36310,45.18,11.0
Inferno Dragon,The Log,36252,55.92,6.0
Goblin Hut,Spear Goblins,35869,35.57,6.0
Cannon,Dart Goblin,35730,53.95,6.0
Skeletons,Witch,35696,55.46,6.0
Royal Ghost,Valkyrie,35620,60.39,7.0
Arrows,Guards,35495,44.0,6.0
Dart Goblin,Tesla,35408,54.04,7.0
Hog Rider,Inferno Dragon,35298,55.65,8.0
Knight,Spear Goblins,34849,48.11,5.0
Balloon,Skeleton Army,34832,49.67,8.0
Minions,Witch,34737,52.58,8.0
Firecracker,Skeletons,34656,52.97,4.0
Inferno Tower,Mini P.E.K.K.A,34490,50.05,9.0
Prince,Zap,34344,42.53,7.0
Arrows,Goblin Gang,34270,51.4,6.0
Electro Wizard,Goblin Barrel,34251,56.11,7.0
Mega Knight,Prince,34177,52.2,12.0
Goblin Barrel,P.E.K.K.A,34033,49.02,10.0
Inferno Tower,Skeleton Army,34016,54.05,8.0
Cannon,Mega Knight,33994,56.24,10.0
Goblins,Mini P.E.K.K.A,33873,49.19,6.0
Goblin Gang,Witch,33860,54.54,8.0
Mega Minion,Mini P.E.K.K.A,33658,46.43,7.0
Electro Wizard,Valkyrie,33616,55.94,8.0
Arrows,Electro Wizard,33583,51.74,7.0
Goblin Gang,Ice Spirit,33486,48.12,4.0
Inferno Dragon,Zap,33386,45.02,6.0
Goblin Gang,Mini P.E.K.K.A,33324,52.66,7.0
Firecracker,Ice Spirit,33292,53.03,4.0
Royal Ghost,Zap,33259,52.0,5.0
Princess,Witch,33061,55.8,8.0
Inferno Dragon,Wizard,33042,53.89,9.0
Arrows,Barbarians,32891,52.78,8.0
Mega Knight,Skeletons,32806,56.29,8.0
Archers,Witch,32636,56.38,8.0
Dart Goblin,Ice Spirit,32573,52.95,4.0
Ice Spirit,Valkyrie,32567,53.73,5.0
Princess,Valkyrie,32555,55.12,7.0
Goblin Hut,Knight,32237,49.08,7.0
Musketeer,Skeleton Army,32179,58.48,7.0
Inferno Tower,Valkyrie,32135,49.51,9.0
Prince,The Log,32031,55.53,7.0
Arrows,Spear Goblins,31776,48.85,5.0
Vines,Witch,31650,55.67,8.0
Baby Dragon,P.E.K.K.A,31580,45.76,11.0
P.E.K.K.A,Royal Ghost,31419,49.33,10.0
Inferno Tower,Knight,31357,47.25,8.0
Electro Wizard,Hog Rider,31222,56.16,8.0
Ice Spirit,Mega Knight,31159,56.12,8.0
Knight,Zap,31100,53.9,5.0
Archers,Goblin Barrel,30974,55.37,6.0
Ice Spirit,Musketeer,30963,41.09,5.0
Archers,Hog Rider,30952,55.79,7.0
Royal Ghost,The Log,30774,56.07,5.0
Mega Knight,Princess,30767,56.37,10.0
P.E.K.K.A,The Log,30739,55.65,9.0
Giant,Wizard,30428,42.19,10.0
Arrows,The Log,30393,55.48,5.0
Fireball,P.E.K.K.A,30380,51.68,11.0
Arrows,Balloon,30309,41.51,8.0
Guards,Mini P.E.K.K.A,29754,55.4,7.0
Giant,Mega Minion,29707,36.98,8.0
Dark Prince,Skeleton Army,29691,52.77,7.0
Ice Spirit,Witch,29649,56.88,6.0
Goblin Gang,Skeleton Army,29588,53.66,6.0
Mini P.E.K.K.A,Princess,29471,55.88,7.0
Fireball,Firecracker,29438,53.84,7.0
Bomber,Giant,29410,40.95,7.0
Bomber,Valkyrie,29377,49.77,6.0
The Log,Wall Breakers,29376,53.34,4.0
Skeleton Army,Vines,29329,54.86,6.0
P.E.K.K.A,Valkyrie,29133,51.44,11.0
Hog Rider,Prince,28981,53.86,9.0
Baby Dragon,Barbarian Barrel,28914,36.17,6.0
Arrows,Goblin Cage,28887,42.62,7.0
Bomber,Fireball,28771,47.09,6.0
Battle Ram,Skeleton Army,28643,56.19,7.0
Goblin Barrel,Skeletons,28584,53.98,4.0
Barbarians,Prince,28551,47.07,10.0
Firecracker,Zap,28535,51.43,5.0
Goblin Cage,Goblin Hut,28505,34.83,8.0
Ice Spirit,Princess,28399,48.08,4.0
Barbarians,Royal Ghost,28212,59.42,8.0
Cannon,Firecracker,28153,53.28,6.0
Goblins,Spear Goblins,28100,36.95,4.0
Bats,Firecracker,28085,50.59,5.0
Dart Goblin,Fireball,28008,53.98,7.0
Goblin Gang,Hog Rider,27959,54.81,7.0
Hog Rider,P.E.K.K.A,27954,52.67,11.0
Hog Rider,Ice Golem,27929,39.29,6.0
Electro Spirit,Fireball,27719,38.67,5.0
Fireball,Prince,27668,52.52,9.0
Arrows,Battle Ram,27606,46.31,7.0
Battle Ram,Royal Ghost,27418,49.94,7.0
Cannon,Wizard,27370,50.8,8.0
Archers,Mega Knight,27353,56.83,10.0
Inferno Dragon,Royal Ghost,27152,55.73,7.0
Balloon,Lumberjack,27073,46.1,9.0
Mega Knight,Royal Ghost,26953,56.9,10.0
Firecracker,Goblin Gang,26760,52.78,6.0
Baby Dragon,Zap,26747,55.3,6.0
Mini P.E.K.K.A,Tombstone,26709,54.78,7.0
Bats,Wizard,26670,50.97,7.0
Ice Golem,Skeletons,26363,37.21,3.0
Archers,Skeletons,26067,51.42,4.0
Fireball,Inferno Dragon,26046,55.86,8.0
Goblin Gang,Inferno Tower,26032,46.49,8.0
Battle Ram,P.E.K.K.A,26000,42.43,11.0
Fireball,Goblins,25984,44.75,6.0
Rocket,The Log,25963,46.54,8.0
Goblin Gang,Zap,25831,47.1,5.0
Dark Prince,Witch,25769,53.63,9.0
Cannon,Ice Golem,25732,38.0,5.0
Electro Wizard,Fireball,25727,52.09,8.0
Ice Golem,Ice Spirit,25709,37.72,3.0
Goblin Barrel,Guards,25674,50.09,6.0
Electro Spirit,Skeletons,25673,38.35,2.0
Cannon,Zap,25606,52.32,5.0
Mini P.E.K.K.A,Vines,25601,54.51,7.0
Dart Goblin,Zap,25600,53.62,5.0
Goblin Gang,Tesla,25497,53.3,7.0
Inferno Tower,Princess,25477,47.62,8.0
Ice Spirit,Skeleton Army,25454,55.7,4.0
Battle Ram,Giant,25445,44.77,9.0
Fireball,Inferno Tower,25388,49.79,9.0
Inferno Tower,Wizard,25327,47.17,10.0
Inferno Dragon,Prince,25307,54.16,9.0
Dark Prince,Mini P.E.K.K.A,25249,52.55,8.0
Archers,Tesla,25125,50.6,7.0
Bats,Knight,25104,49.89,5.0
Hog Rider,Minions,25043,55.31,7.0
Baby Dragon,Cannon,24928,54.23,7.0
Electro Wizard,Firecracker,24909,54.13,7.0
Minions,Wizard,24854,55.34,8.0
Minion Horde,Skeleton Army,24754,48.49,8.0
Giant,Goblins,24661,43.39,7.0
Guards,Valkyrie,24585,51.3,7.0
Ice Spirit,Mini P.E.K.K.A,24564,55.25,5.0
Baby Dragon,Inferno Dragon,24527,54.28,8.0
Ice Golem,Musketeer,24508,36.5,6.0
Ice Golem,The Log,24496,42.02,4.0
Goblin Cage,Knight,24448,49.53,7.0
Goblin Barrel,Rocket,24446,46.1,9.0
The Log,Zap,24376,56.87,4.0
Fireball,Ice Golem,24354,37.07,6.0
Barbarian Barrel,Knight,24342,41.96,5.0
Hog Rider,Inferno Tower,24337,51.08,9.0
Bomber,Skeleton Army,24286,54.86,5.0
Arrows,Ice Spirit,24284,54.01,4.0
Guards,Hog Rider,24207,54.5,7.0
Bats,Goblin Gang,24189,45.06,5.0
Goblin Cage,Valkyrie,24167,44.19,8.0
Dart Goblin,Firecracker,24146,53.5,6.0
Bandit,Zap,24130,41.91,5.0
Inferno Tower,Witch,24123,53.82,10.0
Barbarian Barrel,Tornado,24099,26.47,5.0
Battle Ram,Witch,24048,53.11,9.0
Giant Snowball,Witch,24023,48.11,7.0
Dark Prince,Zap,23969,39.99,6.0
Guards,Skeleton Army,23919,51.75,6.0
Executioner,Skeleton Army,23887,56.19,8.0
Tombstone,Valkyrie,23754,46.73,7.0
Skeletons,Zap,23629,47.24,3.0
Electro Wizard,Royal Ghost,23620,47.76,7.0
Goblin Cage,Spear Goblins,23576,36.97,6.0
Battle Ram,Knight,23570,44.82,7.0
Mega Minion,Zap,23542,33.72,5.0
Barbarians,Goblin Hut,23467,46.7,9.0
Dart Goblin,Skeletons,23465,53.79,4.0
Mega Knight,Wall Breakers,23404,50.93,9.0
Fireball,Goblin Gang,23310,53.44,7.0
Fireball,Mega Minion,23257,42.81,7.0
Prince,Royal Ghost,23234,57.09,8.0
Bats,Fireball,23189,55.19,6.0
Balloon,Valkyrie,23155,50.15,9.0
Bats,Inferno Dragon,23138,43.77,6.0
Bandit,Electro Wizard,23081,41.92,7.0
Guards,The Log,23060,54.58,5.0
Arrows,Goblin Hut,22992,52.57,7.0
Bomber,Spear Goblins,22974,37.43,4.0
Goblin Barrel,Musketeer,22941,54.37,7.0
Electro Spirit,Knight,22868,39.89,4.0
Musketeer,Witch,22733,58.12,9.0
Arrows,Rage,22730,37.38,5.0
Electro Wizard,Knight,22554,56.74,7.0
Barbarians,Inferno Dragon,22537,54.34,9.0
Balloon,Inferno Dragon,22501,38.55,9.0
Golden Knight,The Log,22447,54.36,6.0
Freeze,Skeleton Army,22445,48.34,7.0
Minions,Spear Goblins,22435,53.13,5.0
Battle Ram,Zap,22362,43.21,6.0
Royal Hogs,Skeleton Army,22343,51.19,8.0
Knight,Royal Ghost,22322,60.15,6.0
Arrows,Inferno Tower,22039,50.22,8.0
Barbarians,Knight,22001,57.56,8.0
Ice Wizard,Knight,21975,45.87,6.0
Giant,Witch,21969,48.22,10.0
Arrows,Mega Minion,21967,36.05,6.0
Arrows,Electro Spirit,21956,37.88,4.0
Dart Goblin,Princess,21916,54.11,6.0
Baby Dragon,Dart Goblin,21876,55.14,7.0
Skeleton Army,Skeleton King,21785,53.4,7.0
Bats,Dart Goblin,21758,51.93,5.0
Minions,Zap,21737,52.7,5.0
Barbarians,Mega Minion,21676,45.46,8.0
Fireball,Tombstone,21660,46.98,7.0
Barbarian Barrel,Witch,21634,54.91,7.0
Skeleton Army,Sparky,21612,49.88,9.0
Barbarian Barrel,Poison,21459,28.56,6.0
Giant,Skeleton Army,21324,50.73,8.0
Ice Spirit,Inferno Tower,21298,45.07,6.0
Dart Goblin,Wizard,21224,54.95,8.0
Musketeer,Spear Goblins,21201,56.32,6.0
Arrows,Elite Barbarians,21195,44.65,9.0
Golden Knight,Witch,21152,54.57,9.0
Bomber,Knight,21117,54.28,5.0
Balloon,Freeze,20960,34.76,9.0
Executioner,The Log,20854,55.94,7.0
Guards,Wizard,20792,49.94,8.0
Balloon,Witch,20784,54.8,10.0
Skeleton Army,Spear Goblins,20751,53.69,5.0
Knight,Rocket,20745,44.14,9.0
Executioner,Mini P.E.K.K.A,20654,55.94,9.0
Goblin Hut,Goblins,20650,34.54,6.0
Balloon,Mini P.E.K.K.A,20638,54.14,9.0
Bomber,Witch,20613,56.84,7.0
Goblin Barrel,Minions,20546,54.58,6.0
Electro Wizard,Wizard,20527,55.71,9.0
Firecracker,Wizard,20460,54.01,8.0
Tesla,Wizard,20404,53.48,9.0
Mini P.E.K.K.A,Skeleton Dragons,20384,51.19,8.0
Battle Ram,Cannon,20375,40.87,7.0
Arrows,Tombstone,20373,47.18,6.0
Golden Knight,Mega Knight,20369,54.99,11.0
Archers,Wizard,20339,54.45,8.0
Mega Minion,Valkyrie,20296,43.76,7.0
Elite Barbarians,Zap,20272,46.45,8.0
Dart Goblin,Royal Ghost,20220,56.37,6.0
Cannon,Royal Ghost,20212,59.67,6.0
Bomber,Zap,20175,38.77,4.0
Musketeer,Zap,20145,49.55,6.0
Baby Dragon,Guards,20099,51.01,7.0
Bandit,P.E.K.K.A,20067,40.61,10.0
Mega Knight,Vines,20047,55.55,10.0
Archers,Cannon,20008,56.41,6.0
Inferno Tower,Rocket,19979,40.69,11.0
Barbarian Barrel,Ice Wizard,19971,31.75,5.0
Arrows,Lumberjack,19968,47.34,7.0
Giant Snowball,Skeleton Army,19967,52.34,5.0
Bandit,Royal Ghost,19957,38.73,6.0
Bandit,Mega Knight,19927,48.31,10.0
Tesla,Zap,19922,52.65,6.0
Ice Wizard,The Log,19914,53.55,5.0
Goblin Barrel,Vines,19902,54.94,6.0
Electro Spirit,The Log,19843,51.09,3.0
Elite Barbarians,Rage,19831,42.29,8.0
Baby Dragon,Bats,19753,52.4,6.0
Bats,Spear Goblins,19752,32.1,4.0
Barbarians,P.E.K.K.A,19746,46.83,12.0
Elite Barbarians,Skeleton Army,19723,54.9,9.0
The Log,Vines,19714,54.76,5.0
Bats,Prince,19647,46.75,7.0
Hog Rider,Princess,19621,55.04,7.0
Executioner,Mega Knight,19538,55.74,12.0
Goblin Gang,Rocket,19509,44.63,9.0
Mega Knight,Skeleton Barrel,19460,43.64,10.0
Guards,Zap,19443,44.24,5.0
Lumberjack,Skeleton Army,19434,52.13,7.0
Firecracker,P.E.K.K.A,19318,54.34,10.0
Lumberjack,The Log,19251,55.45,6.0
Boss Bandit,The Log,19199,54.65,8.0
Ice Spirit,Rocket,19174,43.44,7.0
Arrows,Royal Hogs,19159,42.1,8.0
Balloon,Wizard,19111,50.36,10.0
Bats,Cannon,19083,50.2,5.0
Minions,The Log,19078,54.86,5.0
Dark Prince,Goblin Barrel,19021,50.91,7.0
Goblin Gang,Wizard,18986,53.97,8.0
Princess,Rocket,18950,44.82,9.0
Skeleton Army,Skeletons,18834,52.26,4.0
Mini P.E.K.K.A,Rage,18806,49.91,6.0
Electro Wizard,Inferno Dragon,18747,52.61,8.0
Elite Barbarians,The Log,18730,56.0,8.0
Miner,Zap,18653,35.27,5.0
Arrows,Dark Prince,18611,46.31,7.0
Barbarian Barrel,Skeleton Army,18598,56.08,5.0
Skeleton Army,Wall Breakers,18548,54.84,5.0
Barbarians,Inferno Tower,18523,46.32,10.0
Arrows,Princess,18449,55.08,6.0
Hog Rider,Vines,18431,54.15,7.0
Royal Hogs,Witch,18423,51.66,10.0
Mini P.E.K.K.A,Sparky,18417,47.0,10.0
Electro Wizard,Tesla,18410,54.2,8.0
Mega Knight,Minions,18388,55.85,10.0
Tombstone,Witch,18355,54.74,8.0
Skeleton King,Witch,18331,54.02,9.0
Bats,Tesla,18331,53.67,6.0
Dark Prince,Prince,18271,41.92,9.0
Giant,Zap,18267,33.31,7.0
Skeletons,Wizard,18195,50.34,6.0
Barbarians,Skeleton Dragons,18164,45.1,9.0
Skeleton Army,Skeleton Barrel,18124,49.91,6.0
Inferno Dragon,Knight,18094,56.45,7.0
Skeleton Army,Tombstone,18091,50.8,6.0
Cannon,Goblin Gang,18030,53.83,6.0
Giant Snowball,Mini P.E.K.K.A,18003,51.1,6.0
Electro Spirit,Hog Rider,17996,47.59,5.0
Archers,Zap,17985,55.48,5.0
Fireball,Guards,17963,54.45,7.0
Princess,Tesla,17949,53.94,7.0
Bats,Skeletons,17845,46.98,3.0
Arrows,Barbarian Barrel,17803,43.91,5.0
Skeleton King,The Log,17775,54.9,6.0
Freeze,Witch,17672,53.4,9.0
Baby Dragon,Electro Wizard,17664,53.81,8.0
Sparky,Zap,17565,41.16,8.0
