,arena,card_name,outcome,evo,count
170,Arena 4,Lava Hound,Won,0,1
171,Arena 4,Minions,Lost,0,2714
172,Arena 4,Minions,Lost,1,45
173,Arena 4,Minions,Won,0,3059
174,Arena 4,Minions,Won,1,27
175,Arena 4,Musketeer,Lost,0,151
176,Arena 4,Musketeer,Lost,1,2
177,Arena 4,Musketeer,Won,0,304
178,Arena 4,Musketeer,Won,1,25
179,Arena 4,P.E.K.K.A,Won,0,6
180,Arena 4,P.E.K.K.A,Won,1,3
181,Arena 4,Prince,Lost,0,1
182,Arena 4,Prince,Lost,1,3
183,Arena 4,Prince,Won,0,4
184,Arena 4,Prince,Won,1,15
185,Arena 4,Royal Ghost,Lost,0,21
186,Arena 4,Royal Ghost,Won,0,51
187,Arena 4,Skeleton Army,Lost,0,2
188,Arena 4,Skeleton Army,Won,0,18
189,Arena 4,Skeleton Dragons,Lost,0,1270
190,Arena 4,Skeleton Dragons,Lost,1,11
191,Arena 4,Skeleton Dragons,Won,0,1276
192,Arena 4,Skeleton Dragons,Won,1,21
193,Arena 4,Skeletons,Lost,0,3698
194,Arena 4,Skeletons,Won,0,1980
195,Arena 4,Spear Goblins,Lost,0,240
196,Arena 4,Spear Goblins,Lost,1,6
197,Arena 4,Spear Goblins,Won,0,376
198,Arena 4,Spear Goblins,Won,1,18
199,Arena 4,Tesla,Won,1,1
200,Arena 4,Valkyrie,Lost,0,61
201,Arena 4,Valkyrie,Lost,1,2
202,Arena 4,Valkyrie,Won,0,70
203,Arena 4,Valkyrie,Won,1,4
204,Arena 5,Archers,Lost,0,44
205,Arena 5,Archers,Won,0,99
206,Arena 5,Archers,Won,1,4
207,Arena 5,Arrows,Lost,0,78
208,Arena 5,Arrows,Lost,1,144
209,Arena 5,Arrows,Won,0,162
210,Arena 5,Arrows,Won,1,68
211,Arena 5,Baby Dragon,Lost,0,24
212,Arena 5,Baby Dragon,Lost,1,4
213,Arena 5,Baby Dragon,Won,0,84
214,Arena 5,Baby Dragon,Won,1,14
215,Arena 5,Barbarian Barrel,Won,0,19
216,Arena 5,Bats,Lost,0,228
217,Arena 5,Bats,Lost,1,13
218,Arena 5,Bats,Won,0,438
219,Arena 5,Bats,Won,1,23
220,Arena 5,Battle Ram,Lost,0,1804
221,Arena 5,Battle Ram,Lost,1,497
222,Arena 5,Battle Ram,Won,0,2360
223,Arena 5,Battle Ram,Won,1,228
224,Arena 5,Bomb Tower,Lost,0,685
225,Arena 5,Bomb Tower,Lost,1,1
226,Arena 5,Bomb Tower,Won,0,895
227,Arena 5,Bomb Tower,Won,1,7
228,Arena 5,Cannon,Lost,0,984
229,Arena 5,Cannon,Lost,1,589
230,Arena 5,Cannon,Won,0,1363
231,Arena 5,Cannon,Won,1,177
232,Arena 5,Dart Goblin,Won,1,1
233,Arena 5,Electro Spirit,Lost,0,117
234,Arena 5,Electro Spirit,Lost,1,12
235,Arena 5,Electro Spirit,Won,0,206
236,Arena 5,Electro Spirit,Won,1,25
237,Arena 5,Executioner,Lost,0,27
238,Arena 5,Executioner,Lost,1,1
239,Arena 5,Executioner,Won,0,52
240,Arena 5,Executioner,Won,1,4
241,Arena 5,Fire Spirit,Lost,0,27
242,Arena 5,Fire Spirit,Lost,1,33
243,Arena 5,Fire Spirit,Won,0,66
244,Arena 5,Fire Spirit,Won,1,14
245,Arena 5,Fireball,Lost,0,6
246,Arena 5,Fireball,Lost,1,6
247,Arena 5,Fireball,Won,0,8
248,Arena 5,Fireball,Won,1,12
249,Arena 5,Furnace,Won,1,3
250,Arena 5,Giant Snowball,Lost,0,1
251,Arena 5,Goblin Cage,Lost,0,392
252,Arena 5,Goblin Cage,Lost,1,3
253,Arena 5,Goblin Cage,Won,0,384
254,Arena 5,Goblin Cage,Won,1,8
255,Arena 5,Goblin Hut,Lost,0,2676
256,Arena 5,Goblin Hut,Lost,1,1
257,Arena 5,Goblin Hut,Won,0,2549
258,Arena 5,Goblin Hut,Won,1,3
259,Arena 5,Hunter,Lost,0,18
260,Arena 5,Hunter,Won,0,52
261,Arena 5,Inferno Dragon,Lost,0,7
262,Arena 5,Inferno Dragon,Lost,1,1
263,Arena 5,Inferno Dragon,Won,0,18
264,Arena 5,Inferno Dragon,Won,1,11
265,Arena 5,Inferno Tower,Won,0,1
266,Arena 5,Inferno Tower,Won,1,1
267,Arena 5,Knight,Lost,0,214
268,Arena 5,Knight,Lost,1,9
269,Arena 5,Knight,Won,0,320
270,Arena 5,Knight,Won,1,31
271,Arena 5,Lightning,Lost,0,1
272,Arena 5,Minions,Lost,0,2542
273,Arena 5,Minions,Lost,1,57
274,Arena 5,Minions,Won,0,2500
275,Arena 5,Minions,Won,1,55
276,Arena 5,Mortar,Lost,0,11
277,Arena 5,Mortar,Lost,1,1
278,Arena 5,Mortar,Won,0,23
279,Arena 5,Mortar,Won,1,3
280,Arena 5,Musketeer,Lost,0,236
281,Arena 5,Musketeer,Lost,1,14
282,Arena 5,Musketeer,Won,0,330
283,Arena 5,Musketeer,Won,1,30
284,Arena 5,P.E.K.K.A,Lost,0,5
285,Arena 5,P.E.K.K.A,Lost,1,10
286,Arena 5,P.E.K.K.A,Won,0,10
287,Arena 5,P.E.K.K.A,Won,1,36
288,Arena 5,Prince,Lost,0,4
289,Arena 5,Prince,Lost,1,11
290,Arena 5,Prince,Won,0,14
291,Arena 5,Prince,Won,1,29
292,Arena 5,Rascals,Won,0,1
293,Arena 5,Rocket,Lost,0,1755
294,Arena 5,Rocket,Lost,1,2
295,Arena 5,Rocket,Won,0,1096
296,Arena 5,Rocket,Won,1,4
297,Arena 5,Royal Ghost,Lost,0,36
298,Arena 5,Royal Ghost,Won,0,96
299,Arena 5,Royal Ghost,Won,1,2
300,Arena 5,Skeleton Army,Lost,0,66
301,Arena 5,Skeleton Army,Lost,1,10
302,Arena 5,Skeleton Army,Won,0,121
303,Arena 5,Skeleton Army,Won,1,30
304,Arena 5,Skeleton Dragons,Lost,0,1738
305,Arena 5,Skeleton Dragons,Lost,1,8
306,Arena 5,Skeleton Dragons,Won,0,1628
307,Arena 5,Skeleton Dragons,Won,1,27
308,Arena 5,Skeletons,Lost,0,3233
309,Arena 5,Skeletons,Won,0,1908
310,Arena 5,Spear Goblins,Lost,0,209
311,Arena 5,Spear Goblins,Lost,1,6
312,Arena 5,Spear Goblins,Won,0,317
313,Arena 5,Spear Goblins,Won,1,22
314,Arena 5,Valkyrie,Lost,0,187
315,Arena 5,Valkyrie,Lost,1,10
316,Arena 5,Valkyrie,Won,0,221
317,Arena 5,Valkyrie,Won,1,34
318,Arena 5,Wall Breakers,Won,0,4
319,Arena 5,Zap,Won,0,2
320,Arena 5,Zap,Won,1,1
321,Arena 6,Archers,Lost,0,98
322,Arena 6,Archers,Lost,1,3
323,Arena 6,Archers,Won,0,173
324,Arena 6,Archers,Won,1,8
325,Arena 6,Arrows,Lost,0,127
326,Arena 6,Arrows,Lost,1,171
327,Arena 6,Arrows,Won,0,199
328,Arena 6,Arrows,Won,1,80
329,Arena 6,Baby Dragon,Lost,0,750
330,Arena 6,Baby Dragon,Lost,1,39
331,Arena 6,Baby Dragon,Won,0,1207
332,Arena 6,Baby Dragon,Won,1,95
333,Arena 6,Barbarian Barrel,Lost,0,3
334,Arena 6,Barbarian Barrel,Won,0,24
335,Arena 6,Barbarian Barrel,Won,1,1
336,Arena 6,Bats,Lost,0,486
337,Arena 6,Bats,Lost,1,626
338,Arena 6,Bats,Won,0,874
339,Arena 6,Bats,Won,1,204
340,Arena 6,Battle Ram,Lost,0,3342
341,Arena 6,Battle Ram,Lost,1,147
342,Arena 6,Battle Ram,Won,0,3093
343,Arena 6,Battle Ram,Won,1,136
344,Arena 6,Bomb Tower,Lost,0,579
345,Arena 6,Bomb Tower,Lost,1,7
346,Arena 6,Bomb Tower,Won,0,808
347,Arena 6,Bomb Tower,Won,1,19
348,Arena 6,Cannon,Lost,0,2073
349,Arena 6,Cannon,Lost,1,365
350,Arena 6,Cannon,Won,0,2423
351,Arena 6,Cannon,Won,1,105
352,Arena 6,Dart Goblin,Won,0,1
353,Arena 6,Electro Spirit,Lost,0,190
354,Arena 6,Electro Spirit,Lost,1,13
355,Arena 6,Electro Spirit,Won,0,379
356,Arena 6,Electro Spirit,Won,1,22
357,Arena 6,Executioner,Lost,0,23
358,Arena 6,Executioner,Lost,1,1
359,Arena 6,Executioner,Won,0,60
360,Arena 6,Executioner,Won,1,5
361,Arena 6,Fire Spirit,Lost,0,324
362,Arena 6,Fire Spirit,Lost,1,109
363,Arena 6,Fire Spirit,Won,0,178
364,Arena 6,Fire Spirit,Won,1,29
365,Arena 6,Fireball,Lost,0,7
366,Arena 6,Fireball,Lost,1,4
367,Arena 6,Fireball,Won,0,3
368,Arena 6,Fireball,Won,1,13
369,Arena 6,Fisherman,Lost,0,1
370,Arena 6,Furnace,Lost,1,3
371,Arena 6,Furnace,Won,1,5
372,Arena 6,Goblin Cage,Lost,0,290
373,Arena 6,Goblin Cage,Lost,1,4
374,Arena 6,Goblin Cage,Won,0,373
375,Arena 6,Goblin Cage,Won,1,8
376,Arena 6,Goblin Giant,Lost,0,1
377,Arena 6,Goblin Hut,Lost,0,2113
378,Arena 6,Goblin Hut,Lost,1,1
379,Arena 6,Goblin Hut,Won,0,1900
380,Arena 6,Goblin Hut,Won,1,1
381,Arena 6,Guards,Lost,0,1525
382,Arena 6,Guards,Lost,1,16
383,Arena 6,Guards,Won,0,1536
384,Arena 6,Guards,Won,1,39
385,Arena 6,Hog Rider,Lost,1,1
386,Arena 6,Hunter,Lost,0,55
387,Arena 6,Hunter,Won,0,128
388,Arena 6,Inferno Dragon,Lost,0,42
389,Arena 6,Inferno Dragon,Lost,1,1
390,Arena 6,Inferno Dragon,Won,0,59
391,Arena 6,Inferno Dragon,Won,1,7
392,Arena 6,Inferno Tower,Won,0,1
393,Arena 6,Inferno Tower,Won,1,1
394,Arena 6,Knight,Lost,0,159
395,Arena 6,Knight,Lost,1,13
396,Arena 6,Knight,Won,0,295
397,Arena 6,Knight,Won,1,40
398,Arena 6,Lightning,Won,0,1
399,Arena 6,Minion Horde,Lost,0,1
400,Arena 6,Minion Horde,Won,0,1
401,Arena 6,Minions,Lost,0,2442
402,Arena 6,Minions,Lost,1,3
403,Arena 6,Minions,Won,0,2374
404,Arena 6,Minions,Won,1,25
405,Arena 6,Mirror,Won,0,1
406,Arena 6,Mortar,Lost,0,13
407,Arena 6,Mortar,Lost,1,2
408,Arena 6,Mortar,Won,0,24
409,Arena 6,Mortar,Won,1,1
410,Arena 6,Musketeer,Lost,0,200
411,Arena 6,Musketeer,Lost,1,13
412,Arena 6,Musketeer,Won,0,346
413,Arena 6,Musketeer,Won,1,28
414,Arena 6,P.E.K.K.A,Lost,0,1210
415,Arena 6,P.E.K.K.A,Lost,1,165
416,Arena 6,P.E.K.K.A,Won,0,1452
417,Arena 6,P.E.K.K.A,Won,1,143
418,Arena 6,Prince,Lost,0,20
419,Arena 6,Prince,Lost,1,15
420,Arena 6,Prince,Won,0,23
421,Arena 6,Prince,Won,1,34
422,Arena 6,Ram Rider,Lost,0,2
423,Arena 6,Ram Rider,Won,0,1
424,Arena 6,Rocket,Lost,0,2119
425,Arena 6,Rocket,Lost,1,9
426,Arena 6,Rocket,Won,0,1211
427,Arena 6,Rocket,Won,1,11
428,Arena 6,Royal Ghost,Lost,0,83
429,Arena 6,Royal Ghost,Lost,1,2
430,Arena 6,Royal Ghost,Won,0,136
431,Arena 6,Royal Ghost,Won,1,2
432,Arena 6,Royal Giant,Lost,0,1
433,Arena 6,Royal Giant,Won,0,9
434,Arena 6,Royal Giant,Won,1,1
435,Arena 6,Skeleton Army,Lost,0,136
436,Arena 6,Skeleton Army,Lost,1,30
437,Arena 6,Skeleton Army,Won,0,194
438,Arena 6,Skeleton Army,Won,1,76
439,Arena 6,Skeleton Dragons,Lost,0,1166
440,Arena 6,Skeleton Dragons,Lost,1,12
441,Arena 6,Skeleton Dragons,Won,0,1436
442,Arena 6,Skeleton Dragons,Won,1,28
443,Arena 6,Skeletons,Lost,0,3453
444,Arena 6,Skeletons,Won,0,1971
445,Arena 6,Spear Goblins,Lost,0,541
446,Arena 6,Spear Goblins,Lost,1,30
447,Arena 6,Spear Goblins,Won,0,527
448,Arena 6,Spear Goblins,Won,1,65
449,Arena 6,Tesla,Lost,1,1
450,Arena 6,Tesla,Won,1,1
451,Arena 6,Tornado,Won,0,1
452,Arena 6,Valkyrie,Lost,0,196
453,Arena 6,Valkyrie,Lost,1,23
454,Arena 6,Valkyrie,Won,0,337
455,Arena 6,Valkyrie,Won,1,52
456,Arena 6,Wall Breakers,Lost,0,4
457,Arena 6,Wall Breakers,Won,0,5
458,Arena 6,Wall Breakers,Won,1,1
459,Arena 6,Zap,Won,0,1
460,Arena 10,Archers,Lost,0,198
461,Arena 10,Archers,Lost,1,49
462,Arena 10,Archers,Won,0,339
463,Arena 10,Archers,Won,1,55
464,Arena 10,Arrows,Lost,0,350
465,Arena 10,Arrows,Lost,1,955
466,Arena 10,Arrows,Won,0,492
467,Arena 10,Arrows,Won,1,794
468,Arena 10,Baby Dragon,Lost,0,5429
469,Arena 10,Baby Dragon,Lost,1,559
470,Arena 10,Baby Dragon,Won,0,4306
471,Arena 10,Baby Dragon,Won,1,736
472,Arena 10,Balloon,Lost,1,1
473,Arena 10,Bandit,Won,0,1
474,Arena 10,Bandit,Won,1,1
475,Arena 10,Barbarian Barrel,Lost,0,491
476,Arena 10,Barbarian Barrel,Lost,1,157
477,Arena 10,Barbarian Barrel,Won,0,639
478,Arena 10,Barbarian Barrel,Won,1,207
479,Arena 10,Bats,Lost,0,1627
480,Arena 10,Bats,Lost,1,154
481,Arena 10,Bats,Won,0,1318
482,Arena 10,Bats,Won,1,229
483,Arena 10,Battle Healer,Lost,0,228
484,Arena 10,Battle Healer,Lost,1,12
485,Arena 10,Battle Healer,Won,0,258
486,Arena 10,Battle Healer,Won,1,19
487,Arena 10,Battle Ram,Lost,0,813
488,Arena 10,Battle Ram,Lost,1,81
489,Arena 10,Battle Ram,Won,0,887
490,Arena 10,Battle Ram,Won,1,125
491,Arena 10,Berserker,Won,1,1
492,Arena 10,Bomb Tower,Lost,0,568
493,Arena 10,Bomb Tower,Lost,1,22
494,Arena 10,Bomb Tower,Won,0,741
495,Arena 10,Bomb Tower,Won,1,41
496,Arena 10,Bowler,Lost,0,1
497,Arena 10,Bowler,Won,0,4
498,Arena 10,Cannon,Lost,0,3144
499,Arena 10,Cannon,Lost,1,118
500,Arena 10,Cannon,Won,0,4061
501,Arena 10,Cannon,Won,1,186
502,Arena 10,Dark Prince,Lost,0,1
503,Arena 10,Dark Prince,Lost,1,1
504,Arena 10,Dark Prince,Won,0,9
505,Arena 10,Dark Prince,Won,1,1
506,Arena 10,Dart Goblin,Lost,0,2265
507,Arena 10,Dart Goblin,Lost,1,378
508,Arena 10,Dart Goblin,Won,0,2475
509,Arena 10,Dart Goblin,Won,1,510
510,Arena 10,Electro Spirit,Lost,0,615
511,Arena 10,Electro Spirit,Lost,1,258
512,Arena 10,Electro Spirit,Won,0,606
513,Arena 10,Electro Spirit,Won,1,241
514,Arena 10,Electro Wizard,Lost,0,3
515,Arena 10,Electro Wizard,Won,0,8
516,Arena 10,Elite Barbarians,Lost,0,202
517,Arena 10,Elite Barbarians,Lost,1,145
518,Arena 10,Elite Barbarians,Won,0,285
519,Arena 10,Elite Barbarians,Won,1,195
520,Arena 10,Executioner,Lost,0,278
521,Arena 10,Executioner,Lost,1,42
522,Arena 10,Executioner,Won,0,469
523,Arena 10,Executioner,Won,1,71
524,Arena 10,Fire Spirit,Lost,0,236
525,Arena 10,Fire Spirit,Lost,1,27
526,Arena 10,Fire Spirit,Won,0,120
527,Arena 10,Fire Spirit,Won,1,39
528,Arena 10,Fireball,Lost,0,6
529,Arena 10,Fireball,Lost,1,42
530,Arena 10,Fireball,Won,0,4
531,Arena 10,Fireball,Won,1,50
532,Arena 10,Fisherman,Won,0,1
533,Arena 10,Fisherman,Won,1,1
534,Arena 10,Flying Machine,Won,0,1
535,Arena 10,Furnace,Lost,0,106
536,Arena 10,Furnace,Lost,1,85
537,Arena 10,Furnace,Won,0,120
538,Arena 10,Furnace,Won,1,118
539,Arena 10,Giant Snowball,Lost,0,395
540,Arena 10,Giant Snowball,Lost,1,177
541,Arena 10,Giant Snowball,Won,0,521
542,Arena 10,Giant Snowball,Won,1,258
543,Arena 10,Goblin Barrel,Lost,1,2
544,Arena 10,Goblin Barrel,Won,0,1
545,Arena 10,Goblin Barrel,Won,1,5
546,Arena 10,Goblin Cage,Lost,0,210
547,Arena 10,Goblin Cage,Lost,1,31
548,Arena 10,Goblin Cage,Won,0,247
549,Arena 10,Goblin Cage,Won,1,51
550,Arena 10,Goblin Gang,Lost,1,16
551,Arena 10,Goblin Gang,Won,1,21
552,Arena 10,Goblin Giant,Lost,0,38
553,Arena 10,Goblin Giant,Lost,1,20
554,Arena 10,Goblin Giant,Won,0,42
555,Arena 10,Goblin Giant,Won,1,36
556,Arena 10,Goblin Hut,Lost,0,1302
557,Arena 10,Goblin Hut,Lost,1,8
558,Arena 10,Goblin Hut,Won,0,1118
559,Arena 10,Goblin Hut,Won,1,11
560,Arena 10,Goblin Machine,Lost,0,1
561,Arena 10,Goblin Machine,Won,0,1
562,Arena 10,Graveyard,Lost,0,1
563,Arena 10,Graveyard,Won,0,1
564,Arena 10,Guards,Lost,0,1797
565,Arena 10,Guards,Lost,1,270
566,Arena 10,Guards,Won,0,1509
567,Arena 10,Guards,Won,1,302
568,Arena 10,Hog Rider,Lost,0,1
569,Arena 10,Hog Rider,Lost,1,2
570,Arena 10,Hog Rider,Won,1,5
571,Arena 10,Hunter,Lost,0,1058
572,Arena 10,Hunter,Won,0,900
573,Arena 10,Ice Spirit,Lost,0,2
574,Arena 10,Ice Spirit,Lost,1,4
575,Arena 10,Ice Spirit,Won,0,5
576,Arena 10,Ice Spirit,Won,1,2
577,Arena 10,Inferno Dragon,Lost,0,128
578,Arena 10,Inferno Dragon,Lost,1,393
579,Arena 10,Inferno Dragon,Won,0,142
580,Arena 10,Inferno Dragon,Won,1,512
581,Arena 10,Inferno Tower,Lost,1,1
582,Arena 10,Knight,Lost,0,529
583,Arena 10,Knight,Lost,1,262
584,Arena 10,Knight,Won,0,617
585,Arena 10,Knight,Won,1,338
586,Arena 10,Lava Hound,Won,1,1
587,Arena 10,Lightning,Lost,0,359
588,Arena 10,Lightning,Lost,1,13
589,Arena 10,Lightning,Won,0,226
590,Arena 10,Lightning,Won,1,24
591,Arena 10,Lumberjack,Lost,0,4
592,Arena 10,Lumberjack,Won,0,9
593,Arena 10,Miner,Lost,0,2
594,Arena 10,Miner,Won,0,3
595,Arena 10,Minion Horde,Lost,0,186
596,Arena 10,Minion Horde,Lost,1,92
597,Arena 10,Minion Horde,Won,0,249
598,Arena 10,Minion Horde,Won,1,139
599,Arena 10,Minions,Lost,0,2041
600,Arena 10,Minions,Lost,1,43
601,Arena 10,Minions,Won,0,1953
602,Arena 10,Minions,Won,1,45
603,Arena 10,Mirror,Lost,0,8
604,Arena 10,Mirror,Lost,1,1
605,Arena 10,Mirror,Won,0,9
606,Arena 10,Mortar,Lost,0,6
607,Arena 10,Mortar,Lost,1,13
608,Arena 10,Mortar,Won,0,14
609,Arena 10,Mortar,Won,1,13
610,Arena 10,Mother Witch,Lost,0,1
611,Arena 10,Mother Witch,Won,0,1
612,Arena 10,Musketeer,Lost,0,268
613,Arena 10,Musketeer,Lost,1,75
614,Arena 10,Musketeer,Won,0,382
615,Arena 10,Musketeer,Won,1,124
616,Arena 10,P.E.K.K.A,Lost,0,1027
617,Arena 10,P.E.K.K.A,Lost,1,296
618,Arena 10,P.E.K.K.A,Won,0,942
619,Arena 10,P.E.K.K.A,Won,1,252
620,Arena 10,Poison,Lost,0,265
621,Arena 10,Poison,Lost,1,65
622,Arena 10,Poison,Won,0,311
623,Arena 10,Poison,Won,1,62
624,Arena 10,Prince,Lost,0,234
625,Arena 10,Prince,Lost,1,331
626,Arena 10,Prince,Won,0,290
627,Arena 10,Prince,Won,1,389
628,Arena 10,Ram Rider,Lost,0,25
629,Arena 10,Ram Rider,Won,0,53
630,Arena 10,Ram Rider,Won,1,1
631,Arena 10,Rascals,Lost,0,2
