,arena,card_name,outcome,count
106,Arena 2,Mega Knight,Lost,1
107,Arena 2,Mega Knight,Won,5
108,Arena 2,Mini P.E.K.K.A,Lost,14696
109,Arena 2,Mini P.E.K.K.A,Won,14514
110,Arena 2,Minions,Lost,3353
111,Arena 2,Minions,Won,6287
112,Arena 2,Musketeer,Lost,4787
113,Arena 2,Musketeer,Won,8020
114,Arena 2,P.E.K.K.A,Lost,1
115,Arena 2,P.E.K.K.A,Won,15
116,Arena 2,Prince,Lost,39
117,Arena 2,Prince,Won,139
118,Arena 2,Princess,Lost,1
119,Arena 2,Princess,Won,10
120,Arena 2,Royal Ghost,Lost,27
121,Arena 2,Royal Ghost,Won,34
122,Arena 2,Skeleton Army,Lost,38
123,Arena 2,Skeleton Army,Won,72
124,Arena 2,Skeletons,Lost,1887
125,Arena 2,Skeletons,Won,1967
126,Arena 2,Spear Goblins,Lost,9829
127,Arena 2,Spear Goblins,Won,7233
128,Arena 2,Tesla,Won,2
129,Arena 2,Tombstone,Lost,2432
130,Arena 2,Tombstone,Won,2376
131,Arena 2,Valkyrie,Lost,6019
132,Arena 2,Valkyrie,Won,5377
133,Arena 2,Wall Breakers,Lost,4
134,Arena 2,Wall Breakers,Won,19
135,Arena 2,Witch,Lost,26
136,Arena 2,Witch,Won,30
137,Arena 2,Wizard,Lost,5
138,Arena 2,Wizard,Won,77
139,Arena 3,Archers,Lost,2750
140,Arena 3,Archers,Won,4874
141,Arena 3,Arrows,Lost,5733
142,Arena 3,Arrows,Won,6990
143,Arena 3,Baby Dragon,Lost,24
144,Arena 3,Baby Dragon,Won,146
145,Arena 3,Barbarian Barrel,Lost,1
146,Arena 3,Barbarian Barrel,Won,4
147,Arena 3,Barbarians,Lost,7340
148,Arena 3,Barbarians,Won,8616
149,Arena 3,Bats,Lost,2
150,Arena 3,Battle Ram,Lost,6199
151,Arena 3,Battle Ram,Won,5799
152,Arena 3,Bomb Tower,Lost,1
153,Arena 3,Bomb Tower,Won,1
154,Arena 3,Bomber,Lost,5292
155,Arena 3,Bomber,Won,4789
156,Arena 3,Cannon,Lost,4007
157,Arena 3,Cannon,Won,3851
158,Arena 3,Dark Prince,Won,1
159,Arena 3,Dart Goblin,Lost,1
160,Arena 3,Electro Dragon,Lost,12
161,Arena 3,Electro Dragon,Won,55
162,Arena 3,Executioner,Lost,6
163,Arena 3,Executioner,Won,8
164,Arena 3,Fireball,Lost,13437
165,Arena 3,Fireball,Won,12268
166,Arena 3,Firecracker,Lost,19
167,Arena 3,Firecracker,Won,13
168,Arena 3,Freeze,Lost,18
169,Arena 3,Freeze,Won,13
170,Arena 3,Furnace,Won,1
171,Arena 3,Giant,Lost,15585
172,Arena 3,Giant,Won,14240
173,Arena 3,Giant Skeleton,Lost,4
174,Arena 3,Giant Skeleton,Won,4
175,Arena 3,Goblin Barrel,Lost,6
176,Arena 3,Goblin Barrel,Won,26
177,Arena 3,Goblin Cage,Lost,7177
178,Arena 3,Goblin Cage,Won,5524
179,Arena 3,Goblin Hut,Lost,9898
180,Arena 3,Goblin Hut,Won,7466
181,Arena 3,Goblin Machine,Won,1
182,Arena 3,Goblins,Lost,2919
183,Arena 3,Goblins,Won,3151
184,Arena 3,Golem,Won,4
185,Arena 3,Hog Rider,Lost,12
186,Arena 3,Hog Rider,Won,37
187,Arena 3,Hunter,Lost,9
188,Arena 3,Hunter,Won,18
189,Arena 3,Ice Spirit,Lost,18
190,Arena 3,Ice Spirit,Won,13
191,Arena 3,Inferno Dragon,Lost,15
192,Arena 3,Inferno Dragon,Won,126
193,Arena 3,Inferno Tower,Won,1
194,Arena 3,Knight,Lost,6990
195,Arena 3,Knight,Won,8338
196,Arena 3,Mega Knight,Lost,1
197,Arena 3,Mega Knight,Won,2
198,Arena 3,Mega Minion,Lost,4234
199,Arena 3,Mega Minion,Won,4222
200,Arena 3,Mini P.E.K.K.A,Lost,17727
201,Arena 3,Mini P.E.K.K.A,Won,17460
202,Arena 3,Minions,Lost,4508
203,Arena 3,Minions,Won,6442
204,Arena 3,Mortar,Lost,1
205,Arena 3,Musketeer,Lost,6225
206,Arena 3,Musketeer,Won,7340
207,Arena 3,P.E.K.K.A,Won,4
208,Arena 3,Prince,Lost,35
209,Arena 3,Prince,Won,238
210,Arena 3,Princess,Lost,1
211,Arena 3,Princess,Won,3
212,Arena 3,Royal Ghost,Lost,151
213,Arena 3,Royal Ghost,Won,705
214,Arena 3,Royal Giant,Won,2
215,Arena 3,Skeleton Army,Lost,224
216,Arena 3,Skeleton Army,Won,930
217,Arena 3,Skeleton Dragons,Lost,1
218,Arena 3,Skeleton Dragons,Won,1
219,Arena 3,Skeletons,Lost,1706
220,Arena 3,Skeletons,Won,2006
221,Arena 3,Spear Goblins,Lost,8252
222,Arena 3,Spear Goblins,Won,6191
223,Arena 3,Tesla,Lost,1
224,Arena 3,Tesla,Won,8
225,Arena 3,The Log,Lost,1
226,Arena 3,Tombstone,Lost,2855
227,Arena 3,Tombstone,Won,3175
228,Arena 3,Valkyrie,Lost,13980
229,Arena 3,Valkyrie,Won,11742
230,Arena 3,Wall Breakers,Lost,6
231,Arena 3,Wall Breakers,Won,18
232,Arena 3,Witch,Lost,106
233,Arena 3,Witch,Won,505
234,Arena 3,Wizard,Lost,36
235,Arena 3,Wizard,Won,127
236,Arena 3,Zap,Lost,18
237,Arena 3,Zap,Won,13
238,Arena 4,Archers,Lost,2296
239,Arena 4,Archers,Won,3035
240,Arena 4,Arrows,Lost,5808
241,Arena 4,Arrows,Won,5106
242,Arena 4,Baby Dragon,Lost,51
243,Arena 4,Baby Dragon,Won,243
244,Arena 4,Balloon,Lost,1
245,Arena 4,Barbarian Barrel,Won,5
246,Arena 4,Barbarians,Lost,8904
247,Arena 4,Barbarians,Won,9905
248,Arena 4,Bats,Won,1
249,Arena 4,Battle Ram,Lost,9617
250,Arena 4,Battle Ram,Won,8211
251,Arena 4,Bomb Tower,Lost,944
252,Arena 4,Bomb Tower,Won,1182
253,Arena 4,Bomber,Lost,1879
254,Arena 4,Bomber,Won,2403
255,Arena 4,Cannon,Lost,4869
256,Arena 4,Cannon,Won,3187
257,Arena 4,Dark Prince,Won,5
258,Arena 4,Electro Dragon,Lost,21
259,Arena 4,Electro Dragon,Won,80
260,Arena 4,Electro Spirit,Lost,1251
261,Arena 4,Electro Spirit,Won,1161
262,Arena 4,Executioner,Lost,10
263,Arena 4,Executioner,Won,24
264,Arena 4,Fire Spirit,Lost,744
265,Arena 4,Fire Spirit,Won,884
266,Arena 4,Fireball,Lost,10462
267,Arena 4,Fireball,Won,9587
268,Arena 4,Firecracker,Lost,1
269,Arena 4,Firecracker,Won,5
270,Arena 4,Giant,Lost,9905
271,Arena 4,Giant,Won,9502
272,Arena 4,Giant Skeleton,Lost,9
273,Arena 4,Giant Skeleton,Won,24
274,Arena 4,Goblin Barrel,Lost,6
275,Arena 4,Goblin Barrel,Won,39
276,Arena 4,Goblin Cage,Lost,3075
277,Arena 4,Goblin Cage,Won,2551
278,Arena 4,Goblin Hut,Lost,4274
279,Arena 4,Goblin Hut,Won,4004
280,Arena 4,Goblins,Lost,1122
281,Arena 4,Goblins,Won,1823
282,Arena 4,Golem,Lost,6
283,Arena 4,Golem,Won,16
284,Arena 4,Hog Rider,Lost,21
285,Arena 4,Hog Rider,Won,59
286,Arena 4,Hunter,Lost,4
287,Arena 4,Hunter,Won,10
288,Arena 4,Ice Spirit,Lost,1
289,Arena 4,Inferno Dragon,Lost,152
290,Arena 4,Inferno Dragon,Won,520
291,Arena 4,Inferno Tower,Lost,3079
292,Arena 4,Inferno Tower,Won,3294
293,Arena 4,Knight,Lost,6167
294,Arena 4,Knight,Won,5890
295,Arena 4,Lava Hound,Won,1
296,Arena 4,Mega Knight,Won,1
297,Arena 4,Mega Minion,Lost,5244
298,Arena 4,Mega Minion,Won,4491
299,Arena 4,Miner,Won,2
300,Arena 4,Mini P.E.K.K.A,Lost,14597
301,Arena 4,Mini P.E.K.K.A,Won,15029
302,Arena 4,Minions,Lost,3775
303,Arena 4,Minions,Won,4318
304,Arena 4,Musketeer,Lost,5604
305,Arena 4,Musketeer,Won,5140
306,Arena 4,P.E.K.K.A,Lost,2
307,Arena 4,P.E.K.K.A,Won,14
308,Arena 4,Prince,Lost,74
309,Arena 4,Prince,Won,292
310,Arena 4,Royal Delivery,Lost,1
311,Arena 4,Royal Ghost,Lost,569
312,Arena 4,Royal Ghost,Won,1927
313,Arena 4,Royal Giant,Lost,2
314,Arena 4,Royal Giant,Won,2
315,Arena 4,Royal Hogs,Won,1
316,Arena 4,Skeleton Army,Lost,738
317,Arena 4,Skeleton Army,Won,2375
318,Arena 4,Skeleton Barrel,Lost,1
319,Arena 4,Skeleton Dragons,Lost,2379
320,Arena 4,Skeleton Dragons,Won,2630
321,Arena 4,Skeletons,Lost,3698
322,Arena 4,Skeletons,Won,1983
323,Arena 4,Spear Goblins,Lost,4702
324,Arena 4,Spear Goblins,Won,4155
325,Arena 4,Tesla,Lost,11
326,Arena 4,Tesla,Won,48
327,Arena 4,Tombstone,Lost,1103
328,Arena 4,Tombstone,Won,1546
329,Arena 4,Valkyrie,Lost,9468
330,Arena 4,Valkyrie,Won,8863
331,Arena 4,Wall Breakers,Lost,2
332,Arena 4,Wall Breakers,Won,5
333,Arena 4,Witch,Lost,437
334,Arena 4,Witch,Won,1411
335,Arena 4,Wizard,Lost,5714
336,Arena 4,Wizard,Won,5778
337,Arena 5,Archers,Lost,2017
338,Arena 5,Archers,Won,2308
339,Arena 5,Arrows,Lost,5620
340,Arena 5,Arrows,Won,4409
341,Arena 5,Baby Dragon,Lost,165
342,Arena 5,Baby Dragon,Won,536
343,Arena 5,Balloon,Lost,2
344,Arena 5,Barbarian Barrel,Lost,3
345,Arena 5,Barbarian Barrel,Won,44
346,Arena 5,Barbarian Hut,Lost,1
347,Arena 5,Barbarians,Lost,9116
348,Arena 5,Barbarians,Won,9457
349,Arena 5,Bats,Lost,1453
350,Arena 5,Bats,Won,1749
351,Arena 5,Battle Ram,Lost,9423
352,Arena 5,Battle Ram,Won,7597
353,Arena 5,Bomb Tower,Lost,969
354,Arena 5,Bomb Tower,Won,1186
355,Arena 5,Bomber,Lost,1437
356,Arena 5,Bomber,Won,1946
357,Arena 5,Cannon,Lost,3574
358,Arena 5,Cannon,Won,2656
359,Arena 5,Dark Prince,Won,6
360,Arena 5,Dart Goblin,Won,6
361,Arena 5,Electro Dragon,Lost,40
362,Arena 5,Electro Dragon,Won,96
363,Arena 5,Electro Spirit,Lost,2308
364,Arena 5,Electro Spirit,Won,1373
365,Arena 5,Electro Wizard,Won,2
366,Arena 5,Executioner,Lost,34
367,Arena 5,Executioner,Won,67
368,Arena 5,Fire Spirit,Lost,1420
369,Arena 5,Fire Spirit,Won,881
370,Arena 5,Fireball,Lost,8992
371,Arena 5,Fireball,Won,8283
372,Arena 5,Firecracker,Lost,3
373,Arena 5,Firecracker,Won,8
374,Arena 5,Flying Machine,Lost,331
375,Arena 5,Flying Machine,Won,405
376,Arena 5,Furnace,Won,5
377,Arena 5,Giant,Lost,7684
378,Arena 5,Giant,Won,6657
379,Arena 5,Giant Skeleton,Lost,15
380,Arena 5,Giant Skeleton,Won,27
381,Arena 5,Giant Snowball,Lost,1
382,Arena 5,Goblin Barrel,Lost,32
383,Arena 5,Goblin Barrel,Won,94
384,Arena 5,Goblin Cage,Lost,1719
385,Arena 5,Goblin Cage,Won,1661
386,Arena 5,Goblin Gang,Won,1
387,Arena 5,Goblin Giant,Won,1
388,Arena 5,Goblin Hut,Lost,2760
389,Arena 5,Goblin Hut,Won,2715
390,Arena 5,Goblin Machine,Won,1
391,Arena 5,Goblins,Lost,1301
392,Arena 5,Goblins,Won,1587
393,Arena 5,Golem,Lost,5
394,Arena 5,Golem,Won,6
395,Arena 5,Hog Rider,Lost,4390
396,Arena 5,Hog Rider,Won,4496
397,Arena 5,Hunter,Lost,18
398,Arena 5,Hunter,Won,52
399,Arena 5,Ice Spirit,Won,1
400,Arena 5,Inferno Dragon,Lost,358
401,Arena 5,Inferno Dragon,Won,856
402,Arena 5,Inferno Tower,Lost,4926
403,Arena 5,Inferno Tower,Won,3866
404,Arena 5,Knight,Lost,4838
405,Arena 5,Knight,Won,4663
406,Arena 5,Lightning,Lost,1
407,Arena 5,Magic Archer,Lost,1
408,Arena 5,Mega Knight,Won,4
409,Arena 5,Mega Minion,Lost,3038
410,Arena 5,Mega Minion,Won,2620
411,Arena 5,Miner,Lost,1
412,Arena 5,Miner,Won,16
413,Arena 5,Mini P.E.K.K.A,Lost,13602
414,Arena 5,Mini P.E.K.K.A,Won,15130
415,Arena 5,Minion Horde,Lost,3
416,Arena 5,Minion Horde,Won,1
417,Arena 5,Minions,Lost,3338
418,Arena 5,Minions,Won,3293
419,Arena 5,Mortar,Lost,353
420,Arena 5,Mortar,Won,468
421,Arena 5,Musketeer,Lost,4511
422,Arena 5,Musketeer,Won,3842
423,Arena 5,P.E.K.K.A,Lost,21
424,Arena 5,P.E.K.K.A,Won,80
425,Arena 5,Prince,Lost,189
426,Arena 5,Prince,Won,556
427,Arena 5,Princess,Won,5
428,Arena 5,Rage,Lost,1
429,Arena 5,Ram Rider,Won,1
430,Arena 5,Rascals,Won,1
431,Arena 5,Rocket,Lost,2085
432,Arena 5,Rocket,Won,1460
433,Arena 5,Royal Delivery,Won,1
434,Arena 5,Royal Ghost,Lost,1887
435,Arena 5,Royal Ghost,Won,4308
436,Arena 5,Royal Giant,Lost,2
437,Arena 5,Royal Giant,Won,10
438,Arena 5,Royal Recruits,Won,5
439,Arena 5,Skeleton Army,Lost,2285
440,Arena 5,Skeleton Army,Won,5094
441,Arena 5,Skeleton Barrel,Won,1
442,Arena 5,Skeleton Dragons,Lost,3603
443,Arena 5,Skeleton Dragons,Won,3202
444,Arena 5,Skeletons,Lost,3234
445,Arena 5,Skeletons,Won,1913
446,Arena 5,Spear Goblins,Lost,3458
447,Arena 5,Spear Goblins,Won,3255
448,Arena 5,Tesla,Lost,26
449,Arena 5,Tesla,Won,73
450,Arena 5,Tombstone,Lost,1055
451,Arena 5,Tombstone,Won,1307
452,Arena 5,Valkyrie,Lost,8180
453,Arena 5,Valkyrie,Won,7937
454,Arena 5,Wall Breakers,Lost,3
455,Arena 5,Wall Breakers,Won,10
456,Arena 5,Witch,Lost,1326
457,Arena 5,Witch,Won,2943
458,Arena 5,Wizard,Lost,10078
459,Arena 5,Wizard,Won,9563
460,Arena 5,Zap,Lost,1604
461,Arena 5,Zap,Won,1973
462,Arena 6,Archers,Lost,2432
463,Arena 6,Archers,Won,2346
464,Arena 6,Arrows,Lost,6433
465,Arena 6,Arrows,Won,5860
466,Arena 6,Baby Dragon,Lost,4876
467,Arena 6,Baby Dragon,Won,5964
468,Arena 6,Balloon,Lost,4
469,Arena 6,Balloon,Won,6
470,Arena 6,Barbarian Barrel,Lost,29
471,Arena 6,Barbarian Barrel,Won,85
472,Arena 6,Barbarian Hut,Lost,1
473,Arena 6,Barbarian Hut,Won,5
474,Arena 6,Barbarians,Lost,10842
475,Arena 6,Barbarians,Won,10156
476,Arena 6,Bats,Lost,3564
477,Arena 6,Bats,Won,2996
478,Arena 6,Battle Ram,Lost,7441
479,Arena 6,Battle Ram,Won,6080
480,Arena 6,Bomb Tower,Lost,1061
481,Arena 6,Bomb Tower,Won,1053
482,Arena 6,Bomber,Lost,2459
483,Arena 6,Bomber,Won,2053
484,Arena 6,Cannon,Lost,3693
485,Arena 6,Cannon,Won,3547
486,Arena 6,Dark Prince,Lost,2
487,Arena 6,Dark Prince,Won,17
488,Arena 6,Dart Goblin,Lost,2
489,Arena 6,Dart Goblin,Won,3
490,Arena 6,Electro Dragon,Lost,77
491,Arena 6,Electro Dragon,Won,153
492,Arena 6,Electro Spirit,Lost,2999
493,Arena 6,Electro Spirit,Won,1628
494,Arena 6,Electro Wizard,Lost,1
495,Arena 6,Electro Wizard,Won,9
496,Arena 6,Executioner,Lost,29
497,Arena 6,Executioner,Won,77
498,Arena 6,Fire Spirit,Lost,2017
499,Arena 6,Fire Spirit,Won,1010
500,Arena 6,Fireball,Lost,9261
501,Arena 6,Fireball,Won,9101
502,Arena 6,Firecracker,Lost,2
503,Arena 6,Firecracker,Won,20
504,Arena 6,Fisherman,Lost,1
505,Arena 6,Flying Machine,Lost,235
506,Arena 6,Flying Machine,Won,385
507,Arena 6,Freeze,Lost,2
508,Arena 6,Freeze,Won,1
509,Arena 6,Furnace,Lost,8
510,Arena 6,Furnace,Won,17
511,Arena 6,Giant,Lost,5391
512,Arena 6,Giant,Won,3713
513,Arena 6,Giant Skeleton,Lost,9
514,Arena 6,Giant Skeleton,Won,27
515,Arena 6,Giant Snowball,Lost,1
516,Arena 6,Goblin Barrel,Lost,4565
517,Arena 6,Goblin Barrel,Won,5763
518,Arena 6,Goblin Cage,Lost,1420
519,Arena 6,Goblin Cage,Won,1322
520,Arena 6,Goblin Drill,Lost,1
521,Arena 6,Goblin Drill,Won,10
522,Arena 6,Goblin Gang,Lost,9
523,Arena 6,Goblin Gang,Won,22
524,Arena 6,Goblin Giant,Lost,1
525,Arena 6,Goblin Giant,Won,2
526,Arena 6,Goblin Hut,Lost,2202
527,Arena 6,Goblin Hut,Won,2017
528,Arena 6,Goblin Machine,Won,9
529,Arena 6,Goblins,Lost,2353
530,Arena 6,Goblins,Won,1565
531,Arena 6,Golem,Lost,2
532,Arena 6,Golem,Won,11
533,Arena 6,Guards,Lost,2786
534,Arena 6,Guards,Won,3224
535,Arena 6,Hog Rider,Lost,11563
536,Arena 6,Hog Rider,Won,11512
537,Arena 6,Hunter,Lost,55
538,Arena 6,Hunter,Won,128
539,Arena 6,Ice Spirit,Won,1
540,Arena 6,Inferno Dragon,Lost,969
541,Arena 6,Inferno Dragon,Won,1787
542,Arena 6,Inferno Tower,Lost,3574
543,Arena 6,Inferno Tower,Won,3089
544,Arena 6,Knight,Lost,5017
545,Arena 6,Knight,Won,4474
546,Arena 6,Lava Hound,Lost,1
547,Arena 6,Lava Hound,Won,1
548,Arena 6,Lightning,Won,1
549,Arena 6,Magic Archer,Lost,1
550,Arena 6,Magic Archer,Won,5
551,Arena 6,Mega Knight,Lost,3
552,Arena 6,Mega Knight,Won,17
553,Arena 6,Mega Minion,Lost,2042
554,Arena 6,Mega Minion,Won,1657
555,Arena 6,Miner,Lost,12
556,Arena 6,Miner,Won,73
557,Arena 6,Mini P.E.K.K.A,Lost,16860
558,Arena 6,Mini P.E.K.K.A,Won,17892
559,Arena 6,Minion Horde,Lost,10
560,Arena 6,Minion Horde,Won,17
561,Arena 6,Minions,Lost,3087
562,Arena 6,Minions,Won,2856
563,Arena 6,Mirror,Won,1
564,Arena 6,Mortar,Lost,258
565,Arena 6,Mortar,Won,348
566,Arena 6,Musketeer,Lost,3939
567,Arena 6,Musketeer,Won,3609
568,Arena 6,P.E.K.K.A,Lost,5082
569,Arena 6,P.E.K.K.A,Won,5000
570,Arena 6,Poison,Lost,3
571,Arena 6,Poison,Won,1
572,Arena 6,Prince,Lost,480
573,Arena 6,Prince,Won,1102
574,Arena 6,Princess,Lost,3
575,Arena 6,Princess,Won,26
576,Arena 6,Rage,Won,5
577,Arena 6,Ram Rider,Lost,2
578,Arena 6,Ram Rider,Won,1
579,Arena 6,Rascals,Lost,1
580,Arena 6,Rascals,Won,6
581,Arena 6,Rocket,Lost,2625
582,Arena 6,Rocket,Won,1636
583,Arena 6,Royal Delivery,Won,1
584,Arena 6,Royal Ghost,Lost,4619
585,Arena 6,Royal Ghost,Won,8091
586,Arena 6,Royal Giant,Lost,5
587,Arena 6,Royal Giant,Won,20
588,Arena 6,Royal Recruits,Lost,3
589,Arena 6,Royal Recruits,Won,9
590,Arena 6,Skeleton Army,Lost,9794
591,Arena 6,Skeleton Army,Won,14137
592,Arena 6,Skeleton Barrel,Lost,1
593,Arena 6,Skeleton Barrel,Won,9
594,Arena 6,Skeleton Dragons,Lost,2527
595,Arena 6,Skeleton Dragons,Won,2371
596,Arena 6,Skeletons,Lost,3453
597,Arena 6,Skeletons,Won,1973
598,Arena 6,Spear Goblins,Lost,3107
599,Arena 6,Spear Goblins,Won,2781
600,Arena 6,Tesla,Lost,49
601,Arena 6,Tesla,Won,123
602,Arena 6,The Log,Lost,1
603,Arena 6,The Log,Won,1
604,Arena 6,Tombstone,Lost,1807
605,Arena 6,Tombstone,Won,1743
606,Arena 6,Tornado,Lost,2
607,Arena 6,Tornado,Won,1
608,Arena 6,Valkyrie,Lost,8823
609,Arena 6,Valkyrie,Won,8205
610,Arena 6,Wall Breakers,Lost,23
611,Arena 6,Wall Breakers,Won,50
612,Arena 6,Witch,Lost,8690
613,Arena 6,Witch,Won,11035
614,Arena 6,Wizard,Lost,11878
615,Arena 6,Wizard,Won,11047
616,Arena 6,X-Bow,Lost,1
617,Arena 6,X-Bow,Won,3
618,Arena 6,Zap,Lost,3619
619,Arena 6,Zap,Won,3018
620,Arena 10,Archers,Lost,2588
621,Arena 10,Archers,Won,3023
622,Arena 10,Arrows,Lost,11133
623,Arena 10,Arrows,Won,10478
624,Arena 10,Baby Dragon,Lost,12100
625,Arena 10,Baby Dragon,Won,11929
626,Arena 10,Balloon,Lost,1862
627,Arena 10,Balloon,Won,1776
628,Arena 10,Bandit,Lost,7
629,Arena 10,Bandit,Won,21
630,Arena 10,Barbarian Barrel,Lost,3705
631,Arena 10,Barbarian Barrel,Won,3416
632,Arena 10,Barbarian Hut,Lost,432
633,Arena 10,Barbarian Hut,Won,172
634,Arena 10,Barbarians,Lost,5289
635,Arena 10,Barbarians,Won,4796
636,Arena 10,Bats,Lost,2754
637,Arena 10,Bats,Won,2641
638,Arena 10,Battle Healer,Lost,293
639,Arena 10,Battle Healer,Won,335
640,Arena 10,Battle Ram,Lost,1346
641,Arena 10,Battle Ram,Won,1595
642,Arena 10,Berserker,Lost,730
643,Arena 10,Berserker,Won,782
644,Arena 10,Bomb Tower,Lost,875
645,Arena 10,Bomb Tower,Won,999
646,Arena 10,Bomber,Lost,2510
647,Arena 10,Bomber,Won,2309
648,Arena 10,Bowler,Lost,1
649,Arena 10,Bowler,Won,5
650,Arena 10,Cannon,Lost,5452
651,Arena 10,Cannon,Won,5637
652,Arena 10,Clone,Lost,2
653,Arena 10,Clone,Won,4
654,Arena 10,Dark Prince,Lost,3620
655,Arena 10,Dark Prince,Won,3241
656,Arena 10,Dart Goblin,Lost,5823
657,Arena 10,Dart Goblin,Won,6300
658,Arena 10,Electro Dragon,Lost,299
659,Arena 10,Electro Dragon,Won,440
660,Arena 10,Electro Giant,Won,1
661,Arena 10,Electro Spirit,Lost,2286
662,Arena 10,Electro Spirit,Won,2486
663,Arena 10,Electro Wizard,Lost,14
664,Arena 10,Electro Wizard,Won,40
665,Arena 10,Elite Barbarians,Lost,1668
666,Arena 10,Elite Barbarians,Won,2189
667,Arena 10,Elixir Collector,Won,2
668,Arena 10,Elixir Golem,Won,3
669,Arena 10,Executioner,Lost,362
670,Arena 10,Executioner,Won,589
671,Arena 10,Fire Spirit,Lost,774
672,Arena 10,Fire Spirit,Won,792
673,Arena 10,Fireball,Lost,7389
674,Arena 10,Fireball,Won,7382
675,Arena 10,Firecracker,Lost,26
676,Arena 10,Firecracker,Won,63
677,Arena 10,Fisherman,Lost,2
678,Arena 10,Fisherman,Won,2
679,Arena 10,Flying Machine,Lost,1053
